Loc2_CornyCholmc2_00000	#Cmowy l#es.
Loc2_Rapak2_00060	W#ezo, Kraaa-Kraaa-Kraaabaaato! Runjewon do ri ... ehmmm do pyska!
Loc2_Rapak2_00061	Se w#e, Kraaa-Kraaa-Kraaabaaat! Rownowen do ri ... ehmmm do #snapaca!
Loc2_Rapak2_00063	W#ezo b#ech to ja! K#o#zdy raz d#ostanu jednu sm#oknjenu. T#on jedyn t#r#ela z kamu#skami, druhi mje dyri z ha#lzu,
Loc2_Rapak2_00064	Se w#e, tak ga se m#e #do! Ku#zdy raz dostanjom jadnu bricnjonu. Ten jaden st#y#ela z kamu#skami, drugi m#e deri z ga#luzu,
Loc2_Rapak2_00066	n#ekot#ri p#ri#ndu hnydom ze sakom - ja tola njejsym mjetel#kka! Sym wjele tajkich ka#sporkow wid#da#l.
Loc2_Rapak2_00067	n#ekotare p#yidu ned ze se#yu - ja ga njejsom mjatelik! Som wjele takich pojacow wi#de#l.
Loc2_Rapak2_00069	N#etko pak mam dos#c!
Loc2_Rapak2_00070	N#ento pak mam dos#c!
Loc2_Sunow2_00000	To je #Sunow. B#ech tu hi#zo po pro#senju.
Loc2_Sunow2_00001	To jo #Sunow. How som ju#zo #se#l p#sosyt.
Loc2_Sunow2_00003	Wjes sej rad#so zbliska wobhladam.
Loc2_Sunow2_00004	Wjas se lubjej zbliska wobgl#edajom.
Loc2_Sunow2_00006	Ja tola nochcu wjes zapali#c.
Loc2_Sunow2_00007	Ja ga njok wjas zapali#y.
Loc2_Swoboda_00000	Tule, luba ma#cerka: Jedyn z tutych dwana#ce pjeriznatych je wa#s syn.
Loc2_Swoboda_00001	How, luba ma#y: jaden z tych dwanas#co pjerkowatych jo wa#s syn.
Loc2_Swoboda_00003	Jeli jeho sp#oznaje#ce, potom na njeho pokazaj#ce, a w#on bud#de swobodny.
Loc2_Swoboda_00004	Ga#z jogo spoznajo#yo, potom na njogo poka#z#co, a won bu#do lichotny.
Loc2_Swoboda_00006	Ma#cerna wutroba syna p#reco namaka.
Loc2_Swoboda_00007	Mamina wut#soba swojogo syna p#yecej namakajo.
Loc2_Swoboda_00009	T#onle je m#oj syn.
Loc2_Swoboda_00010	Ten how jo moj syn.
Loc2_Swoboda_00012	Kuz#larski kij njech d#otknje wucho rapaka.$Ma#c ma strach, njech zmjerznje jeje wutroba.$Hdy#z sy to woprawd#de, Krabato,$tak poka#z so nam - moje du#sine njewjedro!
Loc2_Swoboda_00013	Guslowarski kij da#y potusnjo wucho rapaka.$Mama ma t#sach, da#y zmarznjo jeje wut#soba.$Ga#z sy to nap#sawdu, Krabat,$tak poka#z se nam - mojo du#sne njewjedro!
Loc2_Swoboda_00015	Haj, to w#on je!
Loc2_Swoboda_00016	Jo, to won jo!
Loc2_Swoboda_00018	Ma#c a syn chwatachu wjeso#li domoj ale M#lynk so na Krabata jara z#lobje#se. W#on b#e#se pytny#l, po kotrym wa#snju jeho h#ol#kec p#reles#ci.
Loc2_Swoboda_00019	DS Ma#c a syn chwatachu wjeso#li domoj ale M#lynk so na Krabata jara z#lobje#se. W#on b#e#se pytny#l, po kotrym wa#snju jeho h#ol#kec p#reles#ci.
Loc2_Swoboda_00021	Wje#cba je sw#odka, m#oj luby a to potom, hdy#z ju zymnu d#ostanje#s !!! Na zasowid#denje - KRABATO !!!
Loc2_Swoboda_00022	DS Wje#cba je sw#odka, m#oj luby a to potom, hdy#z ju zymnu d#ostanje#s !!! Na zasowid#denje - KRABATO !!!
Loc2_Wila2_00000	Durje su zawrjene.
Loc2_Wila2_00001	#Durja su zamknjone.
Loc2_Wila2_00003	To nochcu zapali#c!
Loc2_Wila2_00004	To njok zapali#y!
Loc2_Wjes2_00000	W#on tak m#ocnje d#d#e#la, zo #skr#e l#etaja!
Loc2_Wjes2_00001	Won tak mocnje #d#e#la, a#z #skr#e l#etaju!
Loc2_Wjes2_00003	#Sunowske sudy.
Loc2_Wjes2_00004	#Sunojske sudy.
Loc2_Wjes2_00006	Tu je w#sud#de #cma.
Loc2_Wjes2_00007	How jo w#su#di #yma.
Loc2_Wjes2_00009	#Zelezna tafla kor#kmy, wona so we w#et#riku #kumpa.
Loc2_Wjes2_00010	Zelezne znamje kjarcmy. To se we w#et#syku t#sumpa.
Loc2_Wjes2_00012	Wohe#n knyskota.
Loc2_Wjes2_00013	Woge#n knykoco.
Loc2_Wjes2_00015	Wone su p#re#ce#zke!
Loc2_Wjes2_00016	Su p#ye#y#e#zke!
Loc2_Wjes2_00018	P#rez wokno so do kor#kmy njekrosnuju!
Loc2_Wjes2_00019	P#yez wokno do kjarcmy njel#ezom!
Loc2_Wjes2_00021	Njem#o#zu taflu dosahny#c.
Loc2_Wjes2_00022	Njamogu znamje dosegnu#y.
Loc2_Wjes2_00024	Nochcu so spali#c! Potom je tuta hra hnydom sk#on#kena!
Loc2_Wjes2_00025	Njok se spali#y! Potom jo to gra#ye ned ku ko#ncoju!
Loc2_Wjes2_00027	Spod#diwnje, durje su zamknjene!
Loc2_Wjes2_00028	#Diwnje, #durja su zamknjone!
Loc2_Wjes2_00030	To nochcu zapali#c!
Loc2_Wjes2_00031	To njok spali#y!
Loc2_Wjes2_00033	Za #ko bych jeho dyrbja#l poch#losta#c?
Loc2_Wjes2_00034	Za co by jogo deja#l wot#strofowa#y?
Loc2_Wjes2_00036	Nochcu, zo so rozhn#ewa!
Loc2_Wjes2_00037	Njok, a#z se rozgori!
Loc2_Wjes2_00039	Kij je p#rekr#otki!
Loc2_Wjes2_00040	Kij jo p#yekrotki!
Loc2_Wjes2_00042	L#epje so nje#nd#de pali#c!
Loc2_Wjes2_00043	DS L#epje so nje#nd#de pali#c!
Loc2_Wjes2_00045	Pasli#ce te#z konjam #f#krije#F?
Loc2_Wjes2_00046	D#densa pak njeje telko lud#di po pu#cu.
Loc2_Wjes2_00047	Za#s#le l#eto sym samo w jednym m#esta#kku p#ostniski #cah wid#da#l.
Loc2_Wjes2_00048	Abraham Frencel ? Wo nim je knjez farar hi#zo j#onu pow#eda#l.
Loc2_Wjes2_00049	Bych te#z rady knihi #kita#l abo raz list napisa#l.
Loc2_Wjes2_00050	Dyrbju dale - bo#zemje.
Loc2_Wjes2_00051	Basli#yo teke konjam #fcrjeje#F?
Loc2_Wjes2_00052	#Dinsa pak njejo teliko lu#di po droze.
Loc2_Wjes2_00053	Zachadne l#eto som samo w jadnom ma#lem m#es#ce zapustojski p#ye#y#eg wi#de#l.
Loc2_Wjes2_00054	Abraham Frencel? Wo njom jo kn#ez fara#x ju#zo raz pow#eda#l.
Loc2_Wjes2_00055	By teke rady knig#ly cyta#l abo raz list napisa#l.
Loc2_Wjes2_00056	Dejm dalej - na zasejwi#denje.
Loc2_Wjes2_00063	W#ezo! P#odkowy za koniki p#rinjesu rjany dobytk. Hdy#z su sk#otne wiki w Kulowje, je tu ho#lk a to#lk.
Loc2_Wjes2_00064	Se w#e! Podkowy za konje p#yinjasu r#edny dobytk. Ga#z su skotne wiki w Kulowje, jo how zogol a ru#sowanje.
Loc2_Wjes2_00066	N#e, w#sako je wjet#sina burow hi#s#ce na knje#zich polach. Pr#eni zmjerzk nuzuje do sp#echa,
Loc2_Wjes2_00067	N#e, w#sak jo w#et#syna burow hy#s#ci na kn#eskich polach. Pr#edny mroz goni do sp#echa,
Loc2_Wjes2_00069	prjedy ha#k so p#riroda do do#lheho spara poda a lud#do zaso wjace chwile maja.
Loc2_Wjes2_00070	nje#zli se p#yiroda do d#lujkego spanja dajo a lu#de zasej w#ecej casa maju.
Loc2_Wjes2_00072	To b#e#se zaw#es#ce w Kulowje. Ale te#z na wjesce swje#ca p#ostnicy.
Loc2_Wjes2_00073	To jo zaw#es#ce w Kulowje by#lo. Ale teke na jsy sw#e#ye zapust.
Loc2_Wjes2_00075	Ka#z Frenclec Abraham mi j#onu praji: #fP#ostnicy - swjed#de#n #zranja, rejow a #zlokanja.#F
Loc2_Wjes2_00076	Ako jo Frenclojc Abraham m#e raz groni#l: #fZapust - sw#e#de#n #zranja, rejow a pi#ya.#F
Loc2_Wjes2_00078	Haj, haj. W#on je znaty #k#lowjek. Abraham je mje raz na piwo p#reprosy#l, dokel#z sym jeho konjej p#odkowy d#d#e#la#l.
Loc2_Wjes2_00079	Jo, jo. Won jo znaty lu#d. Abraham jo m#e raz na piwo p#yep#sosy#l, dokula#z som za jogo konja podkowy na#d#e#la#l.
Loc2_Wjes2_00081	W#on m#o#ze wulkotnje pow#eda#c - wo stawiznach Serbow, wo na#sej domiznje -
Loc2_Wjes2_00082	Won mo#zo wjelicnje pow#eda#y - wo stawiznach Serbow, wo na#sej domowni -
Loc2_Wjes2_00084	runje zaso jednu knihu pisa. Jara mudry to #k#lowjek.
Loc2_Wjes2_00085	rowno zasej jadne knig#ly pi#so. Wjelgin mudry to lu#d.
Loc2_Wjes2_00087	Kub#lanje t#oj#sto p#la#ci. Za to sy p#rechudy. Snano zaswita j#onu d#de#n, hdy#z m#o#ze k#o#zdy tajke n#e#sto nawukny#c.
Loc2_Wjes2_00088	Kub#lanje bejnje wjele p#la#yi. Za to sy p#yechudy. Sna#d zaswita raz #de#n, ga#z mo#zo ku#zdy take n#eco nawuknu#y.
Loc2_Wjes2_00090	Ale hdy#z sej to prawje p#remysluju - za #ko? P#ri kowanju #zeleza to njetrjebam.
Loc2_Wjes2_00091	Ale ga#z se to p#sawje p#yemysluju - za co? P#yi kowanju zeleza to njetrjebam.
Loc2_Wjes2_00093	Poddanojo, serbscy wjesnjenjo!
Loc2_Wjes2_00094	Poddane, serbske wejsanarje!
Loc2_Wjes2_00096	Swoja majestos#c, kurwjerch Sakskeje a kral P#olskeje Awgust II., mjenowany Sylny, bud#de so na wr#o#copu#cu z War#sawy do Drje#zd#danskeje rezidency po hornjo#lu#ziskich pu#cach pohibowa#c.
Loc2_Wjes2_00097	Jogo gnadna majestos#c, kurwjerch Sakskeje a kral Polskeje Awgust II., pomjenjony Mocny, bu#do se na domojdroze z War#sawy do Drje#zd#da#nskeje rezidence p#yez gornjo#lu#zyske drogi pogibowa#y.
Loc2_Wjes2_00099	Kral so raduje, hdy#z wid#di sm#ejace so wobli#ka #ce#zko d#d#e#lacych poddanow, k#c#ejace hona a rjane holcy. Wo#kakujemy krala w tutej k#on#kinje za n#ehd#de po#ldra hod#diny.
Loc2_Wjes2_00100	Kral se wjaseli, ga#z wi#di se smjejuce woblica #y#e#zko #d#e#lajucych poddanow, kwi#yece pola a #luki a r#edne #dow#ca. Docakujomy krala how na tom ko#ncu za n#e#di po#ltera go#diny.
Loc2_Wjes2_00102	Kral? Awgust Sylny? To hnydom ma#ceri rjeknu!
Loc2_Wjes2_00103	Kral? Awgust Mocny? To ned mamje gronim!
Loc2_Zdzary2_00000	Durje b#orze rozpadnu.
Loc2_Zdzary2_00001	#Durja skoro rozpadnu.
Loc2_Zdzary2_00003	N#e, do toho domu nochcu!
Loc2_Zdzary2_00004	N#e, do togo doma njok!
Loc2_Zdzary2_00006	Tam njep#o#ndu. Boju so psa!
Loc2_Zdzary2_00007	Tam njepoj#dom. Bojm se psa!
Loc3_Casnik_00000	W#on tu stra#zuje.
Loc3_Casnik_00001	Won how stra#zujo.
Loc3_Casnik_00003	N#etko je pjany a spi.
Loc3_Casnik_00004	Won jo pijany a spi.
Loc3_Casnik_00006	Klu#k.
Loc3_Casnik_00007	Kluc.
Loc3_Casnik_00009	Klu#k do pok#ladni#s#ca.
Loc3_Casnik_00010	Kluc do pok#ladni#s#ca.
Loc3_Casnik_00012	Lawjacy ko#zuch.
Loc3_Casnik_00013	Lawowy ko#zuch.
Loc3_Casnik_00015	Ko#zuch je zaw#es#ce dopomnjenka.
Loc3_Casnik_00016	Ko#zuch jo zaw#es#ce dopomnjenka.
Loc3_Casnik_00018	Stra#sna br#o#n.
Loc3_Casnik_00019	T#sa#sna bro#n.
Loc3_Casnik_00021	#Kasnik.
Loc3_Casnik_00022	Zeger.
Loc3_Casnik_00024	Pokazowaki. Je hakle w t#roch.
Loc3_Casnik_00025	#Sp#ery. Jo akle zeger t#yich.
Loc3_Casnik_00027	Pokazowaki. N#etko je w #styrjoch!
Loc3_Casnik_00028	#Sp#ery. N#ent jo zeger styrich!
Loc3_Casnik_00030	Postawa jand#dela.
Loc3_Casnik_00031	Figura jan#dela.
Loc3_Casnik_00033	To je tola naru#kny s#l#on#kny #kasnik.
Loc3_Casnik_00034	To jo tola narucny s#ly#ncny zeger.
Loc3_Casnik_00036	Ni#ko za mnje. To jeno#z boli!
Loc3_Casnik_00037	Nic za mnjo. To jano boli!
Loc3_Casnik_00039	To nochcu docy#la spyta#c.
Loc3_Casnik_00040	To njok sce#lego wopyta#y.
Loc3_Casnik_00042	Hdy#z kral to wid#di, jeho zaw#es#ce poch#losta.
Loc3_Casnik_00043	Ga#z kral to wi#di, jogo zaw#es#ce wot#strofujo.
Loc3_Casnik_00045	Tak pokazowaki njedosahnu.
Loc3_Casnik_00046	Tak #sp#ery njedosegnjom.
Loc3_Casnik_00048	Njem#o#zu z njej r#e#ke#c.
Loc3_Casnik_00049	Njamogu z nim pow#eda#y.
Loc3_Casnik_00051	Dale njetrjebam #kasnik p#restaje#c.
Loc3_Casnik_00052	Dalej njetrjebam zeger p#yestaji#y.
Loc3_Casnik_00054	W s#lu#zbje njepiju - hiks. N#etko je hakle w t#roch, tamle ma#s #kasnik.
Loc3_Casnik_00055	W s#lu#zbje njepiju - hiks. N#ento jo akle zeger t#yich - how ma#s zeger.
Loc3_Casnik_00057	Za hod#dinu mam swjatok. Hdy#z #kasnik to pokazuje, m#o#zemoj sej #skle#n#kku pop#re#c.
Loc3_Casnik_00058	Za go#dinu se sko#ncy moj #d#e#lowy cas. Ga#z zeger to pokazujo, mo#zomej g#la#zack wupi#y!
Loc3_Casnik_00060	Ow, je hi#zo w #styrjoch! Tak m#o#zu sej jedyn sr#ebny#c.
Loc3_Casnik_00061	Ow, jo ju#zo zeger styrich! Tak mogu se jaden dowoli#y.
Loc3_Casnik_00063	Oj, sylny tobak!
Loc3_Casnik_00064	Oj, mocny tubak!
Loc3_Casnik_00066	Hej, nima#s tam ni#co pyta#c!
Loc3_Casnik_00067	Hej, njama#s tam nic pyta#y!
Loc3_Casnik_00069	P#ristup zakazany, wr#o#ko! Hiks...
Loc3_Casnik_00070	P#yistup zakazany, sl#edk! Hiks...
Loc3_Casnik_00072	Njes#ly#si#s? Zawo#lam hnydom stra#zu!
Loc3_Casnik_00073	Njes#ly#sy#s? Zawo#lam ned stra#zu!
Loc3_Casnik_00075	Njel#ez mi na ko#zuch!
Loc3_Casnik_00076	Njel#ez m#e na k#yebjat!
Loc3_Casnik_00078	Wosta#n jeno#z tam, hd#de#z sy!
Loc3_Casnik_00079	Wosta#n jano tam, #do#z sy!
Loc3_Casnik_00081	hiks hiks hiks... Mam strach!
Loc3_Casnik_00082	hiks hiks hiks... Mam t#sach!
Loc3_Casnik_00084	Ja sym Krabat a pytam klu#k do pok#ladni#s#ca.
Loc3_Casnik_00085	Daj#ce mi pro#su klu#k do pok#ladni#s#ca.
Loc3_Casnik_00086	S#ce tola pjany!
Loc3_Casnik_00087	#Sto je za tutymi durjemi?
Loc3_Casnik_00088	#Sto tu d#d#e#la#ce?
Loc3_Casnik_00089	Tu smjerd#di za palencom. Bo#zemje.
Loc3_Casnik_00090	To mi njeb#e prawa rozmo#lwa. Bo#zemje.
Loc3_Casnik_00091	Ja som Krabat a pytam kluc za komoru pok#ladow.
Loc3_Casnik_00092	Daj#yo m#e p#sosym kluc za komoru pok#ladow.
Loc3_Casnik_00093	S#co ga pijany!
Loc3_Casnik_00094	Co jo za tymi #durjami?
Loc3_Casnik_00095	Co how cyni#yo?
Loc3_Casnik_00096	How smjer#di za pale#ncom. Na zasejwi#denje.
Loc3_Casnik_00097	To m#e njejo p#sawe rozgrono. Na zasejwi#denje.
Loc3_Casnik_00105	Jipijaju - ja #ci baju, jipijaju - ja sym w #kaju!
Loc3_Casnik_00106	Jipijaju - ja #yi baju, jipijaju - ja som w teju!
Loc3_Casnik_00108	To je w porjadku, zady mnje w#on wisa - hik, hik ...
Loc3_Casnik_00109	To jo w por#edku, sl#ezy m#e won wisy - hik, hik ...
Loc3_Casnik_00111	Hik, #sto z nim chce#s? Bohatstwo je #ce#zke - n#ekotrych je hi#zo zat#l#o#ki#lo!
Loc3_Casnik_00112	Hik, co z nim co#s? Bogatstwa su #y#e#zke - n#ekotarych su ju#zo zat#locyli!
Loc3_Casnik_00114	#Sto r#eka pjany? Sym h#lowny stra#znik a z tym nawoda ... ehm ... nawoda - hiks - w#sitkich stra#znikow w hrod#de.
Loc3_Casnik_00115	Co groni pijany? Som g#lowny stra#znik a z tym wjednik ... ehm ... wjednik - hiks - w#syknych stra#znikow na gro#de.
Loc3_Casnik_00117	To je kralowska d#d#e#larnja. P#ristup zakazany - hiks - hiks ... N#etko mje hi#zo njemyl. Dyrbju d#d#e#la#c!
Loc3_Casnik_00118	To jo kralowa #d#e#larnja. P#yistup zakazany - hiks - hiks ... N#ento m#e ju#zo njemol. Musym #d#e#la#y!
Loc3_Casnik_00120	Stra#zuju! - hiks -
Loc3_Casnik_00121	Stra#zuju! - hiks -
Loc3_Casnik_00123	Hrrrrrrrrrrrrr ...
Loc3_Casnik_00124	Hrrrrrrrrrrrrr ...
Loc3_Chodba_00000	Lute droho#cinki w tutym hrod#de.
Loc3_Chodba_00001	Jano drogotki w tom gro#de.
Loc3_Chodba_00003	Wone wostanu tu!
Loc3_Chodba_00004	Woni wostanu how!
Loc3_Couch_00000	Durje njejsu zamknjene.
Loc3_Couch_00001	#Durja njejsu zamknjone.
Loc3_Couch_00003	Durje su zamknjene.
Loc3_Couch_00004	#Durja su zamknjone.
Loc3_Couch_00006	Mjechke #lo#zo.
Loc3_Couch_00007	M#eka postola.
Loc3_Couch_00009	Za durje trjebam klu#k.
Loc3_Couch_00010	Za #durja trjebam kluc.
Loc3_Couch_00012	Tule w#et#rik ch#etro duje.
Loc3_Couch_00013	Ten w#et#syk bejnje dujo.
Loc3_Couch_00015	#Spatna ideja!!!
Loc3_Couch_00016	#Spatna ideja!!!
Loc3_Couch_00018	Ahhhhhhh...
Loc3_Couch_00019	Ahhhhhhh...
Loc3_Couch_00021	Ahhhhhhh ...
Loc3_Couch_00022	Ahhhhhhh ...
Loc3_Couch_00024	Bych so rady lehny#l, ale za to nimam chwile!
Loc3_Couch_00025	By se rad lagnu#l, ale za to njamam cas!
Loc3_Dingl_00000	W#on so mi wotwobro#ca.
Loc3_Dingl_00001	Won se wote mnjo wotwobra#ya.
Loc3_Dingl_00003	Pr#ozdny karan a keluch.
Loc3_Dingl_00004	Prozny kru#zk a keluch.
Loc3_Dingl_00006	Karan sobu njewozmu.
Loc3_Dingl_00007	Za to njamam cas.
Loc3_Dingl_00009	Ja tu ni#ko njep#rimnu - #sto, hdy#z zaso n#e#sto sk#oncuju - n#e, n#e ...!
Loc3_Dingl_00010	Ja tu nic njep#yimnjom - co, ga#z zasej n#eco dokusow sporajom - n#e, n#e ...!
Loc3_Dingl_00012	Wud#d#e#lk ze z#lota.
Loc3_Dingl_00013	Wu#d#e#lane ze z#lota.
Loc3_Dingl_00015	Konik a wojacy ze z#lota.
Loc3_Dingl_00016	Konik a wojaki ze z#lota.
Loc3_Dingl_00018	#Zane wino, ale list. N#o haj.
Loc3_Dingl_00019	#Zedno wino, ale list. No jo.
Loc3_Dingl_00021	List? T#on hnydom wo#kinju.
Loc3_Dingl_00022	List? Ten ned wocynijom.
Loc3_Dingl_00024	Derje, n#etko mam kruch #zeleza, z kotreho#z fal#sowanku zhotowju.
Loc3_Dingl_00025	Derje, n#ento mam p#lony kusk zeleza, z kotarego#z kopiju zgotowijom.
Loc3_Dingl_00027	Tole su m#ery #skl#e, te te#z trjebam. Prawje tak!
Loc3_Dingl_00028	To su m#ery #skl#e - te teke trjebam. P#sawje tak.
Loc3_Dingl_00030	Podpisana a zyglowana dowolnos#c Awgusta. Pilny kadla!
Loc3_Dingl_00031	Podpisana a zyglowana dowolnos#c Awgusta. Pilny kjarli#sk.
Loc3_Dingl_00033	Aha, klu#k do pok#ladni#s#ca sy wobstara#l.
Loc3_Dingl_00034	Aha, kluc do pok#ladni#s#ca sy wobstara#l.
Loc3_Dingl_00036	To je jeno#z zyglowana dowolnos#c. N#etko trjebam tu hi#s#ce podpismo.
Loc3_Dingl_00037	To jo jano zyglowana dowolnos#c. N#ento trjebam how hy#s#ci podpismo.
Loc3_Dingl_00039	To je jeno#z podpisana dowolnos#c. N#etko trjebam hi#s#ce kralowski pje#kat na dowolnos#c.
Loc3_Dingl_00040	To jo jano podpisana dowolnos#c. N#ento trjebam hy#s#ci kralojski zygel na dowolnos#c.
Loc3_Dingl_00042	Hej, s#lu#zowniko, wr#o#co! Hewak zawo#lam stra#zu.
Loc3_Dingl_00043	Hej, s#lu#zabnik, sl#edk! Howac zawo#lam stra#zu.
Loc3_Dingl_00045	N#o, ty sy mi serbska heja. Ale Zahrodnikowy wodow#od moja #zona p#rew#so wuchwaluje. Tu#z budu #ci pomha#c a sym w#cipny, ha#k to zam#o#ze#s:
Loc3_Dingl_00046	No, ty sy m#e serbska g#lowka. Ale Zagrodnikowy wodowod moja #ze#nska p#yew#so wuchwalujo. Zadoby#y se do wut#soby Sakskeje. Ty sy m#e serbska g#lowka!
Loc3_Dingl_00048	Zadoby#c so do wutroby Sakskeje. Ty sy mi serbska heja!
Loc3_Dingl_00049	To#y budu #yi pomaga#y a som narski, l#ec to wum#ejo#s.
Loc3_Dingl_00051	Kajki pjany kozo#l?
Loc3_Dingl_00052	Hd#de nade#ndu h#lowneho stra#znika?
Loc3_Dingl_00053	Knje#ze, hd#de namakam h#lowneho stra#znika?
Loc3_Dingl_00054	Ja sym Krabat. #St#o wy s#ce?
Loc3_Dingl_00055	Ma#ce p#ristup ke kralowskemu pok#ladni#s#cu?
Loc3_Dingl_00056	Hd#de namakam pok#ladni#s#co?
Loc3_Dingl_00057	Znaje#ce Handrija Zahrodnika?
Loc3_Dingl_00058	Was pytam! Handrij Zahrodnik mje s#cele.
Loc3_Dingl_00059	Zahrodnik je pola was njedawno wodow#od k#lad#l.
Loc3_Dingl_00060	Znaje#ce tola Zahrodnika. Dyrbi#ce mi pomha#c! Ja was pro#su!
Loc3_Dingl_00061	Kak so tw#orba mjenuje, na kotrej#z d#d#e#la#ce?
Loc3_Dingl_00062	P#o#ndu po wino. Wokomik pro#su!
Loc3_Dingl_00063	Kaki pijany kozo#l?
Loc3_Dingl_00064	#Do namakam g#lownego stra#znika?
Loc3_Dingl_00065	Kn#ez, #do namakam g#lownego stra#znika?
Loc3_Dingl_00066	Chto s#co Wy? Ja som Krabat.
Loc3_Dingl_00067	Ma#yo p#yistup ku kralojskej komorje pok#ladow?
Loc3_Dingl_00068	#Do namakam komoru pok#ladow?
Loc3_Dingl_00069	Znajo#yo Handrija Zagrodnika?
Loc3_Dingl_00070	Was pytam! Handrij Zagrodnik m#e s#celo.
Loc3_Dingl_00071	Zagrodnik jo pla was njedawno wodowod instal#erowa#l.
Loc3_Dingl_00072	Znajo#yo tola Zagrodnika. Musy#yo m#e pomaga#y, p#sosym!
Loc3_Dingl_00073	Kak se modeloju groda groni, na kotarem#z #d#e#la#yo?
Loc3_Dingl_00074	Pojdu po wino. Wokognu#ye p#sosym!
Loc3_Dingl_00087	Ach, s#lu#zowny! To je derje, zo d#de#s. Sym hi#zo po#l hod#diny za tobu zwoni#l. T#on pjany kozo#l je moje winko wulapta#l.
Loc3_Dingl_00088	Ach, s#lu#zabny! To jo derje, a#z p#yi#do#yo. Som ju#zo po#l go#diny klinka#l. Ten pijany ezel jo mojo wino wulapta#l.
Loc3_Dingl_00090	P#rinjes mi pro#su nowy karan wina.
Loc3_Dingl_00091	P#yinjas#co m#e p#sosym nowu karafu wina.
Loc3_Dingl_00093	H#lowny stra#znik! Dyrbju z Awgustom por#e#ke#c.
Loc3_Dingl_00094	Kogo ga jo m#eni#l? G#lownego stra#znika! Dejm z Awgustom popow#eda#y.
Loc3_Dingl_00096	Njejsy drje hi#s#ce do#lho w hrod#de? Za durjemi a na ch#odbje poslednje durje.
Loc3_Dingl_00097	Njejsy ga hy#s#ci d#lujko w gro#de? Za #durjami a na chodbje sl#edne #durja.
Loc3_Dingl_00099	Za durjemi a na ch#odbje poslednje durje.
Loc3_Dingl_00100	Za #durjami a na chodbje sl#edne #durja.
Loc3_Dingl_00102	Sym Johann Melchior Dinglinger, dw#orski juwel#er a p#re#cel jeho majestos#ce Awgusta II., kurwjercha Sakskeje a krala P#olskeje.
Loc3_Dingl_00103	Som Johann Melchior Dinglinger - dworski juwel#er a p#yija#yel jogo majestos#ci Awgusta II., kurwjercha Sakskeje a krala Polskeje.
Loc3_Dingl_00105	A juwel#er je la#kny. Pro#su, dob#eh#n po winko.
Loc3_Dingl_00106	A juwel#er jo #lacny. P#sosym, #ze#n po wino.
Loc3_Dingl_00108	R#e#ki#s wo wutrobje Sakskeje! To je tajne!
Loc3_Dingl_00109	Pow#eda#s wo wut#sobje Sakskeje! To jo potajmne!
Loc3_Dingl_00111	#Sto to tebje stara? D#di po wino.
Loc3_Dingl_00112	Co to tebje stara? #Di po wino.
Loc3_Dingl_00114	N#e. Sym la#kny. D#di po wino.
Loc3_Dingl_00115	N#e. Som #lacny. #Di po wino.
Loc3_Dingl_00117	Tute mjeno njeznaju, to m#o#ze tola k#o#zdy praji#c.
Loc3_Dingl_00118	Take m#e njeznaju, to ga mo#zo ku#zdy groni#y.
Loc3_Dingl_00120	Ty w#cipna J#ewa! To je najnow#sa technika - #fmade in Germany#F - w p#richod#de bud#de to synonym za kwalitu.
Loc3_Dingl_00121	Ty narske #yele! To jo nejnow#sa technika - #fMade in Germany#F - w p#yicho#de bu#do to synonym za kwalitu.
Loc3_Dingl_00123	N#e! D#di po wino!
Loc3_Dingl_00124	N#e! #Di po wino.
Loc3_Dingl_00126	To su dworjenjo Dehlija na narodninach wulkomogula Awrenga Zeba - dospo#lnje ze z#lota d#d#e#lany model a
Loc3_Dingl_00127	To jo dworski stat Dehlija na narodninach wjelikomogula Awrenga Zeba - dospo#lnje ze z#lota #d#e#lany model a
Loc3_Dingl_00129	wjer#sk mojeho dotalneho skutkowanja p#ri dworje jeho majestos#ce. N#etko pak sp#echaj po winko.
Loc3_Dingl_00130	wjera#sk mojogo don#entej#snego statkowanja p#yi dworje jogo majestos#ci. N#ento pak malsnje po wino.
Loc3_Dingl_00132	Kak je pok#ladni#s#co twarjene?
Loc3_Dingl_00133	#St#o ma p#ristup do pok#ladni#s#ca?
Loc3_Dingl_00134	N#etko hi#s#ce do jastwa nochcu. Bo#zemje.
Loc3_Dingl_00135	Kak jo komora pok#ladow twarjona?
Loc3_Dingl_00136	Chto ma p#yistup do komory?
Loc3_Dingl_00137	N#ento hy#s#ci do popaj#de#nstwa njok. Na zasejwi#denje.
Loc3_Dingl_00141	Pok#ladni#s#co je w zapadnym d#d#elu hrodu. #Skitane je p#rez 1,40m do 2,60m to#lste murje. Wokna su zawrjene ze #zeleznymi woke#ncami.
Loc3_Dingl_00142	Komora pok#ladow jo w podwjacornem #d#elu groda. Ju #s#citaju 1,40m - 2,60m t#luste murje. Wokna su zacynjone ze zeleznymi woke#ncami.
Loc3_Dingl_00144	P#red durjemi steji stra#znik. To je architektonisce a strategisce najl#epje p#remyslena rumnos#c z najwjet#sej w#estotu.
Loc3_Dingl_00145	To jo architektoniski a strategiski nejl#epjej p#yemyslona rumnos#c z nejw#et#seju w#estotu. P#yed #durjami stoj stra#znik.
Loc3_Dingl_00147	Jeno#z pje#co: kral Awgust, hrabja Br#uhl, h#lowny stra#znik, archiwar a ja.
