Loc2_CornyCholmc2_00002	Ein d#usterer Wald.
Loc2_Most2_00050	Kann ich Ihnen helfen ? In Sch#pnau haben wir eine gute Kneipe, dort k#pnnen Sie ...
Loc2_Most2_00053	He, Du sorbischer Zwerg. Wei#tt Du nicht, mit wem Du redest ?
Loc2_Most2_00056	Irgendwie ges#attigt sieht er schon aus. Was hei#tt ges#attigt - ein dicker Kerl ist das.
Loc2_Most2_00059	Sei still ! Du hast Gl#uck, da#t er Dich nicht versteht. Das ist August der Starke. Und er ist nicht dick, er hat Probleme mit den Dr#usen.
Loc2_Most2_00062	Aug... Augu... August der Starke ?! Ach du gr#une...
Loc2_Most2_00065	Jetzt beruhige Dich. Ihm hat der Schweinetanz gut gefallen, und deshalb m#pchte er Dich nach Dresden mitnehmen.
Loc2_Most2_00068	Nach Dresden ?! In Ordnung. Ich habe schon immer von einer gro#ten Stadt getr#aumt.
Loc2_Most2_00071	Dann steig in die Kutsche und es geht weiter.
Loc2_Most2_00074	Guten Tag, starker August. Gut, da#t Du mich nicht verstehst.
Loc2_Most2_00077	Redet der Kutscher #uber mich ? Als K#pnig von Polen kann ich nat#urlich auch ein bi#tchen sorbisch, das wei#t nur niemand weiter...
Loc2_Most2_00080	Oh, oh, Ihre gn#adige Majest#at !
Loc2_Most2_00083	Ja doch, ja ! Jetzt brauchst Du mir nicht mehr mit dem Kram kommen.
Loc2_Most2_00086	Du meinst also, da#t ich dick bin !
Loc2_Njedz2_00002	Die Sonnenstrahlen glitzern auf dem Wasser.
Loc2_Njedz2_00005	Zum Baden ist es schon zu kalt.
Loc2_Njedz2_00008	Ich bin doch nicht dumm!
Loc2_Njedz2_00011	Hier will ich nicht angeln!
Loc2_Pinca2_00002	Also, der Wassermann hat die Heiligt#umer angesprochen. Die Heiligt#umer, oder dieser geheime Raum mu#t irgendwo unter der Erde liegen, weil der Koraktor nicht in die H#ande fremder Soldaten fallen durfte. Zugang zu diesem Raum hatten nur die ??? oder die Anf#uhrer des ???, die dort auch begraben wurden.
Loc2_Pinca2_00005	Hier siehst Du einen solchen Gott der alten Sorben - er nannte sich Swaixtix - der Gott der Sterne und der Sonnenstrahlen - also ein Zeichen des Lebens und der Sicherheit.
Loc2_Pinca2_00008	In einer Hand h#alt die Statue Swaixtixs eine kleine Schale, aus der Flammen lodern. Unter seinen Beinen sieht man ein schwarzes Buch. Vielleicht kann Dir nur diese Schale helfen. Sie zeigt den Weg zum Koraktor.
Loc2_Pinca2_00011	Einige Fragmente des Zauberbuches wurden m#undlich den Nachfahren weitergegeben - sicher nur ein kleiner Teil, den der Koraktor beinhaltetet. Na ja, und der M#uller ist so ein Nachfahre des alten ??? Geschlechtes, vielleicht auch der letzte, der mit kleinen Zaubereien die Leute #argert und ???.
Loc2_Pinca2_00014	Sicher hat der M#uller von seinen Vorfahren von dem Buch erfahren. Er hat aber nicht den #fSchl#ussel#F zum Koraktor - und der Schl#ussel ist diese Schale.
Loc2_Pinca2_00017	Komm, ich zeige Dir jetzt eine interessante Zeichnung...
Loc2_Pinca2_00020	Warum hat dann der M#uller noch Zauberkr#afte, wenn das Buch schon mehrere Jahrhunderte verschwunden ist ?
Loc2_Ralbicy2_00002	Oh, sie ist ja immer noch nicht fertig!
Loc2_Ralbicy2_00005	Er arbeitet flei#tig..
Loc2_Ralbicy2_00008	Ich besuche die Kirche, wenn sie fertig ist!
Loc2_Ralbicy2_00011	Wof#ur sollte ich ihn bestrafen?
Loc2_Ralbicy2_00014	Der ist meine !
Loc2_Ralbicy2_00017	Ich will ihn nicht ver#argern.
Loc2_Ralbicy2_00034	Ich bin Krabat aus Eutrich und wer sind Sie?
Loc2_Ralbicy2_00035	Ich habe niemanden ver#argert. Der Winter war ziemlich hart und die meisten Leute haben mich abgewiesen.
Loc2_Ralbicy2_00036	Voller Frondienst, was bedeutet das?
Loc2_Ralbicy2_00037	Warum sind die Junker so gierig?
Loc2_Ralbicy2_00038	Ihr habt ja hier eine ganz sch#pn gro#te Baustelle in Ralbitz.
Loc2_Ralbicy2_00039	Wir sind mitten in der Woche und keiner arbeitet hier.
Loc2_Ralbicy2_00040	Haben Sie vielen Dank f#ur das Gespr#ach - Auf Wiedersehen.
Loc2_Ralbicy2_00041	#Ah, nichts weiter...
Loc2_Ralbicy2_00044	Du kannst Fragen stellen ! Wenn der Mensch einmal etwas hat, dann will er immer noch mehr .
Loc2_Ralbicy2_00047	Der Junker hat die Macht, seinen Reichtum auf dem R#ucken der Bev#plkerung zu vermehren . Au#terdem zahlt
Loc2_Ralbicy2_00050	der Bezirk viel Geld und 30 Jahre lang Krieg zu f#uhren kostet nochmal so viel Geld .
Loc2_Ralbicy2_00053	Die Arbeit auf den Feldern des Junkers hat sich verl#angert. Wir m#ussen uns 6 Tage die Woche auf den
Loc2_Ralbicy2_00056	Feldern des Junkers schinden und das jetzt auch mit unserem pers#pnlichen Werkzeug oder Gespann.
Loc2_Ralbicy2_00059	Die Arbeit auf unseren Feldern interessiert den Junker nicht.
Loc2_Ralbicy2_00062	Sicher, Herr Krabat ! Die Bauern warten ja nur$auf Dich, um Dir ihre Reicht#umer zu schenken .
Loc2_Ralbicy2_00065	Wir hungern selbst ! Der volle Frondienst macht uns$kaputt und niemand wei#t, ob wir den Winter #uberleben .
Loc2_Ralbicy2_00068	Dich kenne ich doch . Du hast letzten Winter bei uns gebettelt und meine Frau ganz sch#pn erz#urnt .
Loc2_Ralbicy2_00071	Vergangenen Monat habe ich die letzten Arbeiter gesehen. Die Kirche wird wohl noch in 50 Jahren nicht fertig sein.
Loc2_Ralbicy2_00074	Ja, das ist unsere Kirche .
Loc2_Rapak2_00002	Ein schwarzer Rabe. Welche Farbe sollte das Gefieder auch haben?
Loc2_Rapak2_00005	Er sitzt hier. Wieder so ein schwarzer Vogel.
Loc2_Rapak2_00008	Ein Schild aus Holz.
Loc2_Rapak2_00011	Ich kann nicht lesen, was hier steht.
Loc2_Rapak2_00014	Ich wei#t nicht, wohin der Weg f#uhrt!
Loc2_Rapak2_00017	Das will ich nicht anz#unden!
Loc2_Rapak2_00020	Kraaa, Kraaaa, Kraaaaaabat ! Kraaaabaaaaaaat !
Loc2_Rapak2_00023	Was ist denn jetzt los ? Wer ruft mich denn da ?
Loc2_Rapak2_00026	Mach die Augen auf, Krabat !
Loc2_Rapak2_00041	Kann ich jetzt mit Tieren reden ?
Loc2_Rapak2_00042	Vielleicht ist der M#uller Bauchredner ?
Loc2_Rapak2_00043	Wer bist Du #uberhaupt ?
Loc2_Rapak2_00044	Habe ich Dich nicht schon einmal getroffen ?
Loc2_Rapak2_00045	Ach, Du warst das. Entschuldige, Rabe, aber ich brauchte eine Feder.
Loc2_Rapak2_00046	Ich bin doch noch nicht verbl#pdet.
Loc2_Rapak2_00047	Ich mu#t weiter und gr#u#t mir die anderen Raben. Eigentlich ein guter Name f#ur eine Computergruppe in der Zukunft.
Loc2_Rapak2_00050	Sicher, Du Pfefferkuchen ! Wie hast Du denn sonst die arme Katze des M#ullers verstanden, Kraaa, Kraaa, Kraaabaaat !?
Loc2_Rapak2_00053	Sicher ! Und weil sein Bauch so viel geplappert hat, liegt die Katze jetzt im M#uhlgraben.
Loc2_Rapak2_00056	Ich bin ein Lehrling des M#ullers und suche nach neuen Kandidaten. Dazu hat er mich in dieses dumme Kost#um gesteckt.
Loc2_Rapak2_00059	Jetzt warte ich darauf, da#t mir wieder ein Kerl eine Feder klaut.
Loc2_Rapak2_00062	Sicher, Kraa-Kraaa-Kraaabaaat ! Genau in den Hin... ehmmm den Schnabel !
Loc2_Rapak2_00065	Sicher war ich das ! Jedes mal bekomme ich eine gelangt. Der eine schie#tt mit Steinen, der andere schl#agt mich mit einem Ast,
Loc2_Rapak2_00068	einige kommen gleich mit einem Netz - ich bin doch kein Schmetterling...!!! - ich habe viele dieser Kasper gesehen...
Loc2_Rapak2_00071	Jetzt habe ich aber genug...
Loc2_Sunow2_00002	Das ist Sch#pnau. Hier war ich schon mal betteln.
Loc2_Sunow2_00005	Das Dorf schaue ich mir lieber mal aus der N#ahe an.
Loc2_Sunow2_00008	Ich will das Dorf doch nicht anbrennen!
Loc2_Swoboda_00002	Jetzt, liebe Mutter - einer dieser zw#plf gefiederten Tiere ist euer Sohn.
Loc2_Swoboda_00005	Wenn ihr ihn erkennt, dann zeigt auf ihn und er wird frei sein.
Loc2_Swoboda_00008	Das Herz einer Mutter findet ihren Sohn immer wieder.
Loc2_Swoboda_00011	Das ist er...
Loc2_Swoboda_00014	Der Zauberstab in das Ohr des Raben gesteckt,$die Mutter hat Angst, es gefriert ihr das Herz.$Bist Du es wirklich - Krabat -$so zeig Dich uns - meiner Seele Unwetter...
Loc2_Swoboda_00017	Ja, das ist er...
Loc2_Swoboda_00020	Mutter und Sohn eilen fr#phlich nach Hause, aber der M#uller #argerte sich sehr #uber Krabat. Er hatte herausgefunden, auf welche Art der Junge ihn #uberlistet hatte.
Loc2_Swoboda_00023	Rache ist s#u#t, mein lieber und das dann, wenn Du sie kalt serviert bekommst !!! Auf Wiedersehen - KRABAT !!!
Loc2_Wila2_00002	Die Tuer ist verschlossen.
Loc2_Wila2_00005	Das will ich nicht anbrennen!
Loc2_Wila2_00006	Nimam chwile!
Loc2_Wila2_00007	Njamam cas!
Loc2_Wila2_00008	Ich habe keine Zeit daf#ur!
Loc2_Wjes2_00002	Er arbeitet so heftig, da#t sogar Funken fliegen!
Loc2_Wjes2_00005	Sch#pnauer F#asser.
Loc2_Wjes2_00008	Hier ist alles dunkel.
Loc2_Wjes2_00011	Das eiserne Schild der Kneipe. Es schaukelt im Wind.
Loc2_Wjes2_00014	Das Feuer knistert.
Loc2_Wjes2_00017	Sie sind zu schwer!
Loc2_Wjes2_00020	Durch das Fenster krieche ich nicht in die Kneipe!
Loc2_Wjes2_00023	Ich kann das Schild nicht erreichen.
Loc2_Wjes2_00026	Ich will nicht verbrennen! Dann ist das Spiel gleich zu Ende.
Loc2_Wjes2_00029	Die T#ur geht nicht auf!
Loc2_Wjes2_00032	Das will ich nicht verbrennen!
Loc2_Wjes2_00035	Wof#ur sollte ich ihn bestrafen?
Loc2_Wjes2_00038	Ich will ihn nicht ver#argern!
Loc2_Wjes2_00041	Der Stock ist zu kurz!
Loc2_Wjes2_00044	Besser wird es nicht brennen!
Loc2_Wjes2_00057	Basteln Sie auch #fSchuhe#F f#ur Pferde ?
Loc2_Wjes2_00058	Heute sind aber nicht so viele Leute unterwegs.
Loc2_Wjes2_00059	Letztes Jahr sah ich sogar einen Faschingsumzug in einem kleinen St#adtchen.
Loc2_Wjes2_00060	Abraham Frenzel ? Von ihm hat unser Pfarrer schon einmal erz#ahlt.
Loc2_Wjes2_00061	Ich w#urde auch gerne mal ein Buch lesen oder einen Brief schreiben.
Loc2_Wjes2_00062	Ich mu#t weiter - Auf Wiedersehen.
Loc2_Wjes2_00065	Sicher! Hufeisen bringen viel Geld. Wenn in Wittichenau Ferkelmarkt ist, ist hier ganz sch#pnes Gedr#ange.
Loc2_Wjes2_00068	Ja, die meisten Bauern sind noch auf den Feldern der Junker. Der letzte Frost mahnt zur Eile, bevor die
Loc2_Wjes2_00071	Natur in den langen Schlaf f#allt und die Leute wieder mehr Zeit haben.
Loc2_Wjes2_00074	Das war bestimmt in Wittichenau. Aber auch auf dem Dorf wird Fasching gefeiert. Wie Abraham Frenzel
Loc2_Wjes2_00077	mir einmal sagte: Fasching - das ist das Fest des Fressens, Tanzens und Saufens.
Loc2_Wjes2_00080	Jaja, er ist sehr bekannt. Abraham hat mich mal auf ein Bier eingeladen, weil ich Hufeisen f#ur sein
Loc2_Wjes2_00083	Pferd geschmiedet habe. Er kann wunderbar erz#ahlen - #uber die Geschichte der Sorben, #uber
Loc2_Wjes2_00086	unsere Heimat - er schreibt gerade wieder an einem Buch. Ein sehr kluger Mann.
Loc2_Wjes2_00089	Bildung kostet einiges. Daf#ur bist Du zu arm. Vielleicht gibt es inrgendwann einmal eine Zeit, wo jeder so etwas lernen kann.
Loc2_Wjes2_00092	Aber wenn ich mir das richtig #uberlege - wof#ur? Zum Schmieden von Eisen brauche ich das nicht.
Loc2_Wjes2_00095	Untergebene sorbische D#prfbewohner !!!
Loc2_Wjes2_00098	Seine gn#adige Majest#at, der Kurf#urst Sachsens und K#pnig Polens, August II - genannt #fder Starke#F, wird sich bei seinem Heimweg von Warschau in die Dresdener Residenz #uber Oberlausitzer Wege bewegen.
Loc2_Wjes2_00101	Der K#pnig freut sich, wenn er l#achelnde Gesichter schwer arbeitender Untergebener sieht, kr#ahende H#ahne h#prt und sch#pne M#adchen erblickt. Der K#pnig wird in dieser Gegend in etwa anderthalb Stunden erwartet.
Loc2_Wjes2_00104	Der K#pnig ? August der Starke ? Da#t mu#t ich gleich der Mutter erz#ahlen !
Loc2_Zdzary2_00002	Die T#ur f#allt bald auseinander!
Loc2_Zdzary2_00005	Nein, in dieses Haus will ich nicht!
Loc2_Zdzary2_00008	Dort gehe ich nicht hin! Ich habe Angst vor dem Hund!
Loc3_Casnik_00002	Er sitzt hier und wacht.
Loc3_Casnik_00005	Er ist betrunken und schl#aft.
Loc3_Casnik_00008	Das ist ein Schl#ussel.
Loc3_Casnik_00011	Das ist der Schl#ussel zur Schatzkammer.
Loc3_Casnik_00014	Ein Tigerfell.
Loc3_Casnik_00017	Das Tigerfell ist bestimmt ein Erinnerungsst#uck.
Loc3_Casnik_00020	Eine schreckliche Waffe.
Loc3_Casnik_00023	Das ist eine Uhr.
Loc3_Casnik_00026	Zeiger. Es ist erst um drei...
Loc3_Casnik_00029	Zeiger. Jetzt ist es um vier...
Loc3_Casnik_00032	Eine Statue, die einen Engel darstellt.
Loc3_Casnik_00035	Das ist doch eine Sonnenarmbanduhr.
Loc3_Casnik_00038	Nichts f#ur mich. Das tut nur weh.
Loc3_Casnik_00041	Das versuche ich gar nicht erst!
Loc3_Casnik_00044	Wenn der K#pnig das sieht, wird er ihn bestimmt bestrafen!
Loc3_Casnik_00047	So erreiche ich die Zeiger nicht!
Loc3_Casnik_00050	Ich kann nicht mit ihm reden!
Loc3_Casnik_00053	Weiter brauche ich die Uhr nicht zu verstellen!
Loc3_Casnik_00056	Im Dienst trinke ich nicht - hiks. Jetzt ist es erst um Drei, dort steht die Uhr.
Loc3_Casnik_00059	In einer Stunde habe ich Feierabend. Dann k#pnnen wir uns ein Gl#aschen genehmigen.
Loc3_Casnik_00062	Oh, es ist schon um Vier! Dann kann ich einen heben.
Loc3_Casnik_00065	Oh, starker Tobak!
Loc3_Casnik_00068	Hey, du hast da nichts verloren !
Loc3_Casnik_00071	Zutritt verboten, zur#uck ! hiks...
Loc3_Casnik_00074	Bist du taub ? Ich rufe gleich die Wache...
Loc3_Casnik_00077	R#uck mir nicht auf den Pelz !
Loc3_Casnik_00080	Bleib blo#t, wo du bist !
Loc3_Casnik_00083	hiks... hiks... hiks... Ich habe Angst !
Loc3_Casnik_00098	Ich bin Krabat und suche den Schl#ussel f#ur die Schatzkammer.
Loc3_Casnik_00099	Geben Sie mir doch bitte den Schl#ussel f#ur die Schatzkammer !
Loc3_Casnik_00100	Sie sind ja besoffen !
Loc3_Casnik_00101	Was befindet sich hinter dieser T#ur ?
Loc3_Casnik_00102	Was arbeiten Sie denn ?
Loc3_Casnik_00103	Hier stinkt es nach Schnaps! Auf Wiedersehen!
Loc3_Casnik_00104	Das ist f#ur mich keine richtige Unterhaltung! Auf Wiedersehen!
Loc3_Casnik_00107	Jipijajeeh - ich sage dir - ich bin im Tee !
Loc3_Casnik_00110	Das ist in Ordnung, der h#angt hinter mir - hik, hik...
Loc3_Casnik_00113	Wozu brauchst du den? Die Sch#atze sind sehr schwer und haben schon so manchen unter sich begraben!
Loc3_Casnik_00116	Was hei#tt hier besoffen ? Ich bin der Hauptw#achter und bin somit der Anf#uhrer... ehm... Anf#uhrer - hiks - aller Wachen hier im Schlo#t.
Loc3_Casnik_00119	Dort ist das Arbeitszimmer des K#pnigs. Zutritt verboten - hiks - hiks... Jetzt lass mich in Ruhe. Ich mu#t arbeiten !
Loc3_Casnik_00122	Ich wache !!! ...hik...
Loc3_Casnik_00125	Hrrrrrrrrrrrrr ...
Loc3_Chodba_00002	Ganz sch#pn viele Sch#atze in diesem Schlo#t.
Loc3_Chodba_00005	Das bleibt hier!
Loc3_Couch_00002	Die T#ur ist nicht verschlossen.
Loc3_Couch_00005	Die T#ur ist verschlossen.
Loc3_Couch_00008	Ein weiches Bett.
Loc3_Couch_00011	Einmal reicht.
Loc3_Couch_00014	Hier weht der Wind aber stark.
Loc3_Couch_00017	Schlechte Idee!!!
Loc3_Couch_00020	Ahhhhhhh...
Loc3_Couch_00023	Ahhhhhhh ...
Loc3_Couch_00026	Ich w#urde mich gerne hinlegen, aber daf#ur habe ich keine Zeit!
Loc3_Dingl_00002	Er arbeitet an seinem Werk.
Loc3_Dingl_00005	Ein leerer Krug samt Kelch.
Loc3_Dingl_00008	Daf#ur habe ich keine Zeit.
Loc3_Dingl_00011	Ich fasse hier nichts an - wenn ich wieder was kaputtmache - nein, nein...!
Loc3_Dingl_00014	Das goldene Kunstwerk.
Loc3_Dingl_00017	Ein goldenes Pferd mit zwei Soldaten.
Loc3_Dingl_00020	Kein Wein, aber ein Brief. Naja, mal sehen...
Loc3_Dingl_00023	Ein Brief? Den mach ich gleich mal auf...
Loc3_Dingl_00026	Gut, jetzt habe ich ein St#uck Flacheisen, aus dem ich die F#alschung anfertigen kann.
Loc3_Dingl_00029	Das sind die Abmessungen der Schale, die brauche ich auch. Gut so !
Loc3_Dingl_00032	Die unterschriebene und gesiegelte Erlaubnis von August ! Flei#tiger Kerl!
Loc3_Dingl_00035	Aha, den Schl#ussel zur Schatzkammer hast Du besorgt.
Loc3_Dingl_00038	Das ist nur die gesiegelte Erlaubnis. Jetzt brauche ich noch die Unterschrift.
Loc3_Dingl_00041	Das ist nur die unterschriebene Erlaubnis. Jetzt brauche ich noch das Siegel darauf.
Loc3_Dingl_00044	Hey, Diener, zur#uck! Sonst rufe ich die Wachen.
Loc3_Dingl_00047	Na du bist mir ja einer. Aber da meine Frau von Zahrodnik seiner Wasserleitung so begeistert ist, will ich dir helfen.
Loc3_Dingl_00050	Da bin ich ja mal gespannt, ob wir das schaffen ! In das Herz Sachsens einzubrechen - du bist mir einer !
Loc3_Dingl_00075	Welcher besoffene Esel ?
Loc3_Dingl_00076	Wo finde ich den Hauptw#achter ?
Loc3_Dingl_00077	Wo finde ich nochmal den Hauptw#achter ?
Loc3_Dingl_00078	Ich bin Krabat. Wer sind sie ?
Loc3_Dingl_00079	Haben Sie Zutritt zur Schatzkammer des K#pnigs ?
Loc3_Dingl_00080	Wo befindet sich die Schatzkammer ?
Loc3_Dingl_00081	Kennen Sie Handrij Zahrodnik ?
Loc3_Dingl_00082	Ach, da sind Sie ja ! Handrij Zahrodnik schickt mich.
Loc3_Dingl_00083	Zahrodnik hat bei Ihnen vor kurzem eine Wasserleitung verlegt.
Loc3_Dingl_00084	Sie kennen Zahrodnik doch. Bitte, Sie m#ussen mir helfen !
Loc3_Dingl_00085	An was arbeiten Sie gerade ?
Loc3_Dingl_00086	Ich hole den Wein. Augenblick bitte...
Loc3_Dingl_00089	Ach, Diener ! Gut da#t Sie kommen, ich klingle bereits eine halbe Stunde. Der besoffene Esel hat wieder meinen Wein ausgesoffen.
Loc3_Dingl_00092	Bringen Sie mir bitte einen neuen Schoppen Wein.
Loc3_Dingl_00095	Wen soll ich denn wohl meinen !? - Den Hauptw#achter ! Ich mu#t das mal mit August bereden.
Loc3_Dingl_00098	Du bist wohl neu hier ? Hinter der T#ur die letzte T#ur auf dem Gang.
Loc3_Dingl_00101	Hinter der T#ur die letzte T#ur auf dem Gang.
Loc3_Dingl_00104	Ich bin Johann Melchior Dinglinger - Hofjuwelier und enger Freund seiner Majest#at August II., des Kurf#ursten von Sachsen und K#pnigs von Polen.
Loc3_Dingl_00107	Und ein durstiger Juwelier. Bitte hole den Wein.
Loc3_Dingl_00110	Du sprichst vom Herzen Sachsens! Das ist geheim!
Loc3_Dingl_00113	Was geht dich das an ? Gehe den Wein holen.
Loc3_Dingl_00116	Nein. Was ist mit meinem Wein?
Loc3_Dingl_00119	Diesen Namen habe ich noch nie geh#prt, da k#pnnte ja auch jeder kommen.
Loc3_Dingl_00122	Du Neugierde! Das ist die neueste Technik - made in Germany - in Zukunft das Synonym f#ur Qualit#at.
Loc3_Dingl_00125	Nein! Gehe jetzt den Wein holen!
Loc3_Dingl_00128	Das ist der Hofstaat von Dehli beim Geburtstag des Gro#tmoguls Awreng Zeb - komplett aus Gold
Loc3_Dingl_00131	und sicherlich der Gipfel meines bisherigen Schaffens am Hofe seiner Majest#at. Jetzt hole aber den Wein.
Loc3_Dingl_00138	Wie sicher ist die Schatzkammer gebaut ?
Loc3_Dingl_00139	Wer hat alles Zutritt zur Schatzkammer ?
Loc3_Dingl_00140	Ich will noch nicht ins Gef#angnis. Wiedersehen.
Loc3_Dingl_00143	Die Schatzkammer befindet sich im Westteil des Schlosses. Sie wird von 1,40m bis 2,60m dicken Mauern umgeben. Die Fenster sind komplett vergittert.
Loc3_Dingl_00146	Die T#ur wird st#andig bewacht. Die Kammer ist architektonisch und strategisch gesehen das Sicherste, was es zur Zeit gibt.
Loc3_Dingl_00149	Nur 5 Leute: K#pnig August, die Grafen Br#uhl, der Hauptw#achter, der Archivar und ich.
Loc3_Dingl_00152	Das ist doch prima. Sie besorgen mir die Schale und ich lade Sie dann zum Merettich und Rindfleisch-Essen ein.
Loc3_Dingl_00155	Und dann tr#anen mir wieder die Augen ! Nein Krabat, so einfach ist das nicht. Jeder, der in die Kammer will, braucht eine besondere Erlaubnis von August.
Loc3_Dingl_00158	Diese Erlaubnis ben#ptigt man jedes Mal erneut, wenn man in die Kammer m#pchte.
Loc3_Dingl_00161	Was ist der Inhalt dieser Erlaubnis?
Loc3_Dingl_00164	Die Begr#undung, wieso du in die Kammer willst. Diese wird dann von August unterschrieben und besiegelt.
Loc3_Dingl_00167	Sie k#pnnen sich doch ein solches Dokument besorgen.
Loc3_Dingl_00170	Jetzt mal langsam ! August ist zur Zeit nicht in Dresden und eine unterschriebene Begr#undung habe ich auch nicht. Und dann gibt es noch ein anderes Problem.
Loc3_Dingl_00173	Jede Woche macht der Archivar eine Inventur. In seinem Archiv hat er die Anzahl und die Abma#te aller Gegenst#ande gesammelt.
Loc3_Dingl_00176	Verstehe. Wenn da etwas fehlt, seid ihr Vier die Hauptverd#achtigen. Wenn aber jede Woche der Bestand kontrolliert wird...,
Loc3_Dingl_00179	... dann ist es ja fast unm#pglich! Haben wir vielleicht noch andere M#pglichkeiten?
Loc3_Dingl_00182	Ich k#pnnte h#pchstens die Schale nachmachen. Daf#ur brauche ich aber ein St#uck Flacheisen, da ich zur Zeit nur mit Gold arbeite.
Loc3_Dingl_00185	Und ich brauche die Abmasse der echten Schale, sonst f#allt der Austausch auf. Ja, das w#are eigentlich alles...
Loc3_Dingl_00188	Und was ist mit der Best#atigung ?
Loc3_Dingl_00191	Oh, das h#atte ich ja fast vergessen ! Wir brauchen eine unterschriebene und besiegelte Erlaubnis. Und denke an den Schl#ussel f#ur die Schatzkammer.
Loc3_Dingl_00206	Also noch einmal: Was brauchen Sie alles?
Loc3_Dingl_00207	Wie gelangen wir an die Schale?
Loc3_Dingl_00208	Wie komme ich in das Archiv?
Loc3_Dingl_00209	Wo ist der Schl#ussel f#ur die Schatzkammer?
Loc3_Dingl_00210	Wie bekomme ich die besiegelte Unterschrift des K#pnigs?
Loc3_Dingl_00211	Ich versuche alles zu besorgen. Auf Wiedersehen.
Loc3_Dingl_00212	Ich versuche alles zu besorgen. Auf Wiedersehen.
Loc3_Dingl_00215	- ein St#uck Flacheisen, woraus ich die Kopie fertige
Loc3_Dingl_00218	- die Abmessungen der Schale, welche Du im Archiv findest
Loc3_Dingl_00221	- eine unterschriebene und gesiegelte Erlaubnis Augusts
Loc3_Dingl_00224	- den Schl#ussel zur Schatzkammer
Loc3_Dingl_00227	Ich tausche das Original durch das Imitat aus. Daf#ur brauchen wir aber eine gute Kopie, sonst bemerkt es der Archivar und ich gehe hinter Gitter.
Loc3_Dingl_00230	Du kannst von Gl#uck reden, da#t sich diese Opferschale relativ einfach und vor allem schnell nachmachen l#a#tt.
Loc3_Dingl_00233	Das Archiv wird verschlossen sein, der Archivar ist zur Zeit auf Schlo#t Albrechtsburg in Meissen. Nur er hat den Schl#ussel.
Loc3_Dingl_00236	Aber er hat mir mal erz#ahlt, da#t ein Geheimgang ins Archiv f#uhrt. Dieser Raum war noch letztes Jahr eine kleine katholische Kapelle, ...
Loc3_Dingl_00239	... da wegen des protestantischen Einflu#tes keine katholischen Messen in Dresden gefeiert werden durften. Mehr wei#t ich aber auch nicht.
Loc3_Dingl_00242	Den hat der Hauptw#achter.
Loc3_Dingl_00245	Wie gesagt, der K#pnig ist heute nicht im Schlo#t. Vielleicht kommt er aber auch eher zur#uck. Schau dich doch mal in seinem Arbeitszimmer um.
Loc3_Dingl_00248	Warte, bevor ich es vergesse. Nimm diese noch nicht unterschriebene Erlaubnis mit.
Loc3_Dingl_00251	Ich schreibe immer mehrere vor, so brauch der K#pnig nur noch zu unterschreiben. Und denke an den Siegel ! Viel Spa#t.
Loc3_Dingl_00254	Jetzt haben wir alles beisammen. Komm morgen wieder zu mir, dann habe ich die Schale gef#alscht. Ich gehe sie gleich fr#uh austauschen.
Loc3_Dingl_00257	Also, Krabat, hier hast Du endlich Deine Sch#ussel.
Loc3_Dingl_00260	Wie kann ich Ihnen nur danken ? Sie haben so viel f#ur mich und vielleicht sogar f#ur das ganze sorbische Volk getan !
Loc3_Dingl_00263	Jetzt h#pr aber auf zu erz#ahlen. Ich bin froh, da#t ich hier im Schlo#t arbeiten darf. Hier habe ich alles, was ich mir w#unsche. In Deiner Heimat ist das bestimmt anders.
Loc3_Dingl_00266	Endlich hielt Krabat die Opferschale in den H#anden. Er kramt die Karte der Lausitz aus der Hosentasche und vergleicht sie mit den ausgemei#telten Linien und Schraffuren der Opferschale.
Loc3_Dingl_00269	Hier ist das Buch versteckt, und der Ort ist s#udlich von Eutrich. Das kann nur das Ostroer Schlo#t sein ! Jetzt aber heim !
Loc3_Gang_00002	Eine verrostete Eisenkette.
Loc3_Gang_00005	Irgendein Tierknochen.
Loc3_Gang_00008	Eine verschlossene T#ur.
Loc3_Gang_00011	Hier ist es mir zu dunkel.
Loc3_Gang_00014	Das klappt so nicht!
Loc3_Gang_00017	Da knurrt mir ja gleich der Magen... Und stinken tut es hier...
Loc3_Gang_00020	Sogar das Schl#usselloch fehlt... Was sich wohl dahinter verbirgt?
Loc3_Gang_00023	Hier ist es mir zu dunkel.
Loc3_Gang_00026	Das ist mein Buch.
Loc3_Gang_00029	Alles dunkel!
Loc3_Gang_00032	Aua! Jetzt habe ich mich gesto#ten!
Loc3_Gang_00035	Was ist das? Das nehme ich mit:
Loc3_Gang_00038	Hmmm, eigenartig.
Loc3_Gang_00041	Sie ist zu d#unn.
Loc3_Gang_00044	So zerbreche ich sie noch!
Loc3_Gang_00047	Das Schl#usselloch fehlt!
Loc3_Gang_00050	Mit dem Hammer geht das nicht!
Loc3_Habor_00002	Das ist aber eine komische Statue.
Loc3_Habor_00005	Wieso versteckt die Statue das linke Auge?
Loc3_Habor_00008	Neue F#asser.
Loc3_Habor_00011	Nichts f#ur mich!
Loc3_Habor_00034	Sch#pner Name. Im Schlo#t arbeitet eine$Dienerin, die Konzuela hei#tt.
Loc3_Habor_00035	Du bist Pirat und hast somit keinen Zutritt.
Loc3_Habor_00036	Was bedeutet denn #fnach Piratenmanier#F ?
