Casnik_1|Won how stra#zujo.
Gang_7|Samo klucowa #d#erka felujo. Co jo jano za nimi schowane?
Gang_8|How jo m#e p#ye#ymojte.
Gang_9|To su moje knig#ly.
Gang_10|W#sykno #yma!
Gang_11|Awa! N#ent som se deri#l.
Gang_12|Co jo to? To se sobu wzejom.
Gang_13|Hmm? #Diwno.
Gang_14|Wona jo p#ye#ya#nka.
Gang_15|Tak ju hy#s#ci roz#lamajom.
Gang_16|Njejo klucoweje #d#erki!
Gang_17|Z klapacom to njepoj#do!
Habor_1|To ale jo #diwna figura!
Habor_2|Cogodla p#yik#sywa figura l#ewe wocko?
Habor_3|Nowe sudy.
Habor_4|Nic za mnjo.
Habor_5|Ja som Krabat, a chto sy ty?
Habor_6|M#e se groni Gonzales. Som #spa#nski pirat.
Habor_7|#Spa#nske #dow#co?! Jo wona r#edna maru#sa? Zaw#es#ce jo wona r#edna! Wzej m#e tola raz sobu!
Habor_8|W por#e#de, no derje. Gaby w#ecej casa m#e#l, jo, potom by #dow#coju po piratskem na#logu wogl#eda#l!
Habor_9|To ga jo sce#lego la#zko. Wzejo#s se kokulu a por#ednje d#lujki #stryk, a potom dej#s jano hy#s#ci mocnje l#ez#c.
Habor_10|Wopytaj to tola sam - ale gl#edaj, w#su#di kokula nje#dar#zy!
Habor_11|#D#ekuju se za kompliment. W#e#s, piraty p#yewjele komplimentow njedostawaju.
Habor_12|Za to #si kokulu dajom. #Stryk dej#s se sam wobstara#y.
Habor_13|Som na dowolu a som swojej sot#se wogl#eda#l. Ale cas se tak malsnje minjo, a dejm zasej sl#edk. Moja #lo#d za ty#de#n wotj#e#do.
Habor_14|W#su#di tam, #do#z engelska flota swoje wikowa#nske drogi po morju ma.
Habor_15|Se w#e, a#z to jo engelska kolonija. Ale lubjej som w #yop#lej Karibice. Tam su #diwne piraty, ale teke mimom#ery wjelike bogatstwa - ja #yi gronim...
Habor_16|No jo - jo to nejskerjej ta tu#znos#c w Karibice. Raz smy wjacor na p#yibrjoze sej#deli, p#lomjenja wognja su prjaskotali,
Habor_17|a m#lody pirat jo pow#eda#l wo swojom wojowanju p#ye#yiwo jadnomu duchoju - duchoju starego kapitana. Cakaj, kak su jomu gronili? Le..., Le... - ach, ja teke w#ecej njew#em.
Habor_18|Co? Kake bogatstwa Serby maju? Som how w Drje#zd#danach n#ekotarych Serbow zezna#l, ken#z su ze swojeje domownje do m#esta wub#egnuli.
Habor_19|Ty pow#eda#s wo bogatstwach, za nich jo ju#zo #skricka na#deje wjelicke bogatstwo. We wocyma po#lnych #ldzow jo se wotb#ly#s#cowa#la mimom#ery d#lymoka tu#znos#c, #za#los#c a b#eda.
Habor_20|Domownja jo jich wuplunu#la, a woni wjelgin derje w#e#de, a#z se #zednje njewro#ye.
Habor_21|R#edne m#e. W gro#de #d#e#la s#lu#zabna, kotarej#z gronje Konzuela.
Habor_22|Sy pirat a z tym njama#s p#yistup.
Habor_23|Co to groni, po piratskem na#logu?
Habor_24|Ty sy p#sawy pirat. Mogu to z kokulu teke raz wopyta#y?
Habor_25|Gonzales, kak jo to by#lo z teju kokulu?
Habor_26|Co pyta pirat w Drje#zd#danach?
Habor_27|#Do ga sy po droze - pirat?
Habor_28|Znajo#s teke Ameriku?
Habor_29|Kotarych #diwnych piratow ga m#eni#s?
Habor_30|Pytam teke bogatstwo, rozm#ej, bogatstwo Serbow.
Habor_31|To zdawa se m#e w#sykno n#ekak #spa#nske. Na zasejwi#denje.
Hala_1|#Durja su zamknjone.
Hala_2|Wobraz n#ekakego kurwjercha.
Hala_3|Te #durja njejsu zamknjone.
Hala_4|Wobraz wisy p#yewusoko!
Hala_5|Potom wobraz hy#s#ci roz#skrabajom!
Haska_1|Ze suda chrapjo wino.
Haska_2|Chto#z to wi#di, se na flaku wopijo.
Haska_3|S#lodke wino. To bu#do m#e wit#ye g#lowa binca#y!
Haska_4|Wokno do komedijowego doma.
Haska_5|Tak wokno njedosegnjom.
Haska_6|N#ent mogu do komedijowego doma.
Haska_7|Aha, how kokula #dar#zy!
Haska_8|N#e, tam ja dobrowolnje njepojdu.
Haska_9|Kucha#x njejo luby kjarl!
Haska_10|To jo #diwna ideja! N#e!
Haska_11|Na#dejnje se moja drastwa njerozpuknjo, ga#z dejm swoje muskle tak wjelgin napina#y!
Haska_12|To jo cerwjene wino. Wono se #spatnje wupa#lka!
Haska_13|K wosu#skoju se wino njego#di!
Haty1_1|Rogo#z.
Haty1_2|Rogo#z.
Haty1_3|Woni ga su bejnje wjele na#lojli.
Haty1_4|Woni ga su bejnje wjele na#lojli.
Haty1_5|Won pak se r#ednje t#sumpa.
Haty1_6|W#so zm#erom.
Haty1_7|How pak jo wjele rybow!
Haty1_8|Jo, te mogu d#lujko wu#di#y. Woni nic njena#loje!
Haty1_9|Hm, woni jadnu rybu po drugej wu#y#eguju.
Haty1_10|Nejskerjej rybu hy#s#ci njamaju.
Haty1_11|Ja ju njedosegnu.
Haty1_12|Ja ju njedosegnu.
Haty1_13|Za kupanje jo m#e #dinsa p#yezyma.
Haty1_14|Za kupanje jo m#e #dinsa p#yezyma.
Haty1_15|Wot togo nic njetrjebam.
Haty1_16|Taku wjeliku rybu hy#s#ci nichten #loj#l njejo.$SNA#D JO HY#S#CI W#ECEJ RYBOW HOW!!!
Haty1_17|Hej, Pawl, pogl#edaj raz!
Haty1_18|Zaperlot! Kn#eski fojt go jo m#e p#yi#sepnu#l, a#z su jano w tom ga#ye hy#s#ci ryby.
Haty1_19|Co#s n#ento nejw#et#su rybu #loj#y abo co? Poj#d sobu!
Haty1_20|Taki m#lody, a ju#zo teliko gluki!
Haty1_21|Jo, ja teke njew#em. To jo w#sykno wjelgin sp#e#snje #s#lo.
Haty1_22|Pop#sawem how sce#lego njesm#ejo#s wu#di#y. To jo kn#eski gat. Ale my to nikomu njegronimy.
Haty1_23|Wopytaj ga hy#s#ci raz swoju gluku w na#som ga#ye.
Haty1_24|Jo, my how mjaztym hy#s#ci raz za p#sawym pogl#ednjomy.
Haty1_25|Ga#z m#eni#yo. Tak, na p#sawem boku to hy#s#ci raz wopytam.
Haty1_26|Taki g#lupak! N#ento pak malsnje! Sna#d hy#s#ci w#et#su wu#lojmej.
Haty1_27|Z tym rogo#z teke njedosegnu.
Haty1_28|Z tym rogo#z teke njedosegnu.
Haty1_29|Teke #stryck how njepomaga.
Haty1_30|Teke #stryck how njepomaga.
Haty1_31|Tam jo ju#zo dos#c.
Haty1_32|Tam jo ju#zo dos#c.
Haty1_33|Woni su se rowno na#zrali.
Haty1_34|Woni su se rowno na#zrali.
Haty1_35|Ten sm#e#sk woni zaw#es#ce njerozm#eju.
Haty1_36|Ten sm#e#sk woni zaw#es#ce njerozm#eju.
Haty1_37|Ja ga g#lupy njejsom.
Haty1_38|Ja ga g#lupy njejsom.
Haty1_39|Jo ju#zo p#yiw#ezany.
Haty1_40|Z tym hy#s#ci wu#di#y njamogu.
Haty1_41|Z tym hy#s#ci wu#di#y njamogu.
Haty1_42|Cogodla by dejali ryby p#yikusnu#y?
Haty1_43|Cogodla by dejali ryby p#yikusnu#y?
Haty1_44|Ja ga g#lupy njejsom.
Haty1_45|Ja ga g#lupy njejsom.
Haty1_46|Lubjej nic, gropnos#c #zednje njepomaga.
Haty1_47|Lubjej nic, gropnos#c #zednje njepomaga.
Haty1_48|To jo moja.
Haty1_49|To jo moja.
Haty1_50|To su moje.
Haty1_51|To su moje.
Haty1_52|Maju sami wudu.
Haty1_53|Maju sami wudu.
Haty1_54|Woni #ld#zu zaw#es#ce spoznaju!
Haty1_55|Woni #ld#zu zaw#es#ce spoznaju!
Haty1_56|N#e, sna#d jo l#epjej, a#z to zbliska njewi#de.
Haty1_57|N#e, sna#d jo l#epjej, a#z to zbliska njewi#de.
Haty1_58|Gl#edaj#yo, co som #loj#l!
Haty1_59|Gl#edaj#yo, co som #loj#l!
Haty1_60|Ha, takich ma#lych mamy sami dos#c!
Haty1_61|Ten jo moj.
Haty1_62|Ten jo moj.
Haty1_63|Lubjej nic, gropnos#c #zednje njepomaga.
Haty1_64|Lubjej nic, gropnos#c #zednje njepomaga.
Haty1_65|Brunjawka! Ty ga ma#s wino w swojom ko#syku. Daj wujkoju #sluk wina!
Haty1_66|Cerwjenawka ma cerwjenu #sapku a wogl#eda swojej lubej starej mamje. Ty ma#s n#eco brunego na g#lowje, potakem sy Brunjawka.
Haty1_67|Tyka#nc w swojom ko#syku mo#zo#s mojomu susedoju da#y, ale wino by rad sam wopta#l - luba, nejlub#sa Brunjawka.
Haty1_68|Mjelc, Brunjawka! Daj m#e twoj nag#lownik! Pytam hy#s#ci n#eco za zapustojske camprowanje.
Haty1_69|Ach, #sluk wina abo pale#nca, a ju#zo #sapku trjeba#y njebu#do#s.
Haty1_70|Jo to zasej nowa kjarcma w Budy#synje? P#yecej te wjelicne mjenja!
Haty1_71|K#saj#dne m#estno? A#z m#e wjelikana Sprjewnika njewubu#dijo#s -
Haty1_72|hahaha -- hehe -
Haty1_73|Ja ju#zo wjele pale#nca piju, ale ty sy za to pop#sawem p#yem#lody! #Do ga take #ldganja wulicuju - w Jitku abo w Kulowje?
Haty1_74|Se w#e, se w#e. To jo w zymje zaw#es#ce #yop#le m#estno. Gro#n p#sosym cartoju wjele dobrego!
Haty1_75|Za 20 l#et mo#zo hela ze mnu licy#y. Potom by rad w am#ye du#sow #d#e#la#l,
Haty1_76|dokula#z topjenje podzemskich komorow za mnjo nic njejo -
Haty1_77|hahaha hehe.
Haty1_78|Jo, tu nazymu jo to sl#edny gat z rybami.
Haty1_79|W Kulowje wikuju teke z rybami. A dokula#z jich l#etosa teliko njejo, mo#zo#s sebje bejnje wjele kro#sykow zas#lu#zy#y.
Haty1_80|Co z wudu co#s?
Haty1_81|Za l#eto p#yi#d zasej! Sna#d zm#ejo#s potom gluku.
Haty1_82|L#etosa ga jo to sl#edny gat z rybami, a nichten drugi how wu#di#y njesm#ejo.
Haty1_83|N#ent smy my how!
Haty1_84|My how wu#dimy!
Haty1_85|Gluka jo m#e wopu#s#ci#la!
Haty1_86|To njama zmys#la!
Haty1_87|Nic hy#s#ci raz!
Haty1_88|Ty ga sy jano rybow dla how!
Haty1_89|Dejm se koncentr#erowa#y.
Haty1_90|Njemol m#e! Rowno jadna kusa.
Haty1_91|L#etosa ja nejw#et#su wu#lojm!
Haty1_92|Njamogu n#ento z tobu pow#eda#y.
Haty1_93|Brunjawka? Ja som Krabat.
Haty1_94|Ja njejsom Brunjawka! Take #sapki se #dinsa nose. Mimo togo jo to #yamna oran#zowa barwa.
Haty1_95|Mama jo m#e zakaza#la wence b#dez #sapki gra#y. Co, jo-lic se nazymnim?
Haty1_96|Znajo#yo Cartojski m#lyn?
Haty1_97|Cartojski m#lyn njejo nowa kjarcma! Tak pomjeniju lu#de k#saj#dne m#estno, #do#z mo#zo#s w#ecej nawuknu#y, ako jano mla#y zernka.
Haty1_98|To njejsu #ldganja! Ja Cartojski m#lyn namakajom!
Haty1_99|Bejne ryby s#co nawu#dili.
Haty1_100|Co z rybami cyni#yo?
Haty1_101|#Do dostanu wudu?
Haty1_102|Wjele gluki hy#s#ci p#yi wu#denju!
Haty1_103|Mogu to teke raz wopyta#y?
Haty1_104|Pytam Cartojski m#lyn.
Haty1_105|Wjele wjasela hy#s#ci - na zasejwi#denje.
Haty1_106|Palce p#sec!
Haty1_107|Wostaj to!
Haty1_108|#Di se sam n#eco #lojt!
Haty1_109|Hej, to jo na#s!
Haty1_110|Ja to wi#dim!
Haty1_111|N#ent my nejw#et#su rybu popadnjomy!
Haty1_112|Wostaj nas na pokoj!
Haty1_113|DS Ja sym...
Haty1_114|ach, co #yi to pow#edam.
Hojnt1_1|Kokulka za zw#erjeta. Wona how wisy.
Hojnt1_2|To su pasle.
Hojnt1_3|P#yi jagarni na ko#ncu #snory jo zwonk. Ten zwoni, ga#z jo n#eco #f#lapi#l#F.
Hojnt1_4|Zwonk.
Hojnt1_5|How wise kurwoty.
Hojnt1_6|To jo se#n kn#eskego jagarja.
Hojnt1_7|How nichten nut#yi njejo.
Hojnt1_8|Sekera. Wona zaw#es#ce jagarjeju s#lu#sa.
Hojnt1_9|Zachod do doma.
Hojnt1_10|Drjewo z l#esa.
Hojnt1_11|To njamogu p#yed woknom. Ga#z m#e jaga#x wi#di! Dejm to n#ekak hynac zmejstrowa#y.
Hojnt1_12|To njedosegnjom.
Hojnt1_13|Do paslow w#ecej njestupijom.
Hojnt1_14|To njamogu p#yed woknom. Ga#z m#e jaga#x wi#di! Dejm to n#ekak hynac zmejstrowa#y.
Hojnt1_15|#D#ekuju se wam! Mam hy#s#ci p#sa#sanje.
Hojnt1_16|Njejo #zeden cas. Dejm pasle zwupor#e#da#y a potom se na go#ntwu p#yigotuju. A tu noc ja wjelka #lapijom.
Hojnt1_17|No gl#edaj! Jaga#x se wro#yi!
Hojnt1_18|To jaga#x markujo.
Hojnt1_19|Kurwoty njetrjebam.
Hojnt1_20|Ga#z dalej p#yez wokna gl#edam, m#e won sna#d wi#di a potom m#e na#s#coka.
Hojnt1_21|Wokno ga dajo se jano wot nut#yika wocyni#y!
Hojnt1_22|Wona twardo w pje#nku #stycy!
Hojnt1_23|Njok jagarja moli#y.
Hojnt1_24|Do doma njepojdu.
Hojnt1_25|P#ye#y#e#zke!
Hojnt1_26|Tak to njej#do!
Hojnt1_27|Njok jagarja hy#s#ci raz rozgori#y. Won ga co wjelikana #lapi#y.
Hojnt1_28|Njok wokno rozbi#y!
Hojnt1_29|Tak jo njezapalijo#s.
Hojnt1_30|Co mo#zo to jano by#y? Wugl#edajo ako #snora. Dejm se to bli#zej wobgl#eda#y.
Hojnt1_31|Co mo#zo to jano by#y? Dejm se to bli#zej wobgl#eda#y.
Hojnt2_1|To su pasle.
Hojnt2_2|P#yi jagarni na ko#ncu #snory jo zwonk. Ten zwoni, ga#z jo n#eco #f#lapi#l#F.
Hojnt2_3|Zwonk.
Hojnt2_4|How wise kurwoty.
Hojnt2_5|To jo se#n kn#eskego jagarja.
Hojnt2_6|Sekera. Wona zaw#es#ce jagarjeju s#lu#sa.
Hojnt2_7|Zachod do doma.
Hojnt2_8|Drjewo z l#esa.
Hojnt2_9|To njedosegnjom.
Hojnt2_10|Do paslow w#ecej njestupijom.
Hojnt2_11|To njamogu p#yed woknom. Ga#z m#e jaga#x wi#di! Dejm to n#ekak hynac zmejstrowa#y.
Hojnt2_12|To jaga#x markujo.
Hojnt2_13|Ga#z dalej p#yez wokna gl#edam, m#e won sna#d wi#di a potom m#e na#s#coka.
Hojnt2_14|Wona twardo w pje#nku #stycy!
Hojnt2_15|Njok jagarja moli#y.
Hojnt2_16|P#ye#y#e#zke!
Hojnt2_17|Njok jagarja hy#s#ci raz rozgori#y. Won ga co wjelikana #lapi#y.
Hojnt2_18|Njok wokno rozbi#y!
Hojnt2_19|Tak jo njezapalijo#s.
HojntAuto_1|Zaperlot! Jo to n#ento zw#erje abo zasej golc. Dejm za tym malsnje pogl#ednu#y.
HojntAuto_2|#Diwnje. Tak wjelgin w#et#s ga #dinsa njedujo. Ze zwonkom dejm sebje hy#s#ci n#eco p#yemysli#y.
HojntAuto_3|Zwonk jo zazwoni#l! Kotare zw#erje drje som #loj#l?
Hoscenc1_1|Won smarcy.
Hoscenc1_2|Won how sej#di a piwko sr#eba.
Hoscenc1_3|Gjarny#sk jo prozny.
Hoscenc1_4|To je nut#yikowny pogl#ed kjarcmy.
Hoscenc1_5|To jo molowany wobraz. Pom#ernje wjelika to #zywnos#c. Wugl#edajo ako m#lyn.
Hoscenc1_6|Drjewjany sto#l.
Hoscenc1_7|To su zaw#es#ce #durja do kuchnje. S#ly#sym, kak n#echten z gjarncami klapoco.
Hoscenc1_8|To se njes#lu#sa!
Hoscenc1_9|To se njes#lu#sa!
Hoscenc1_10|Njok se sednu#y.
Hoscenc1_11|N#e, how zaw#es#ce njesm#ejom zastupi#y.
Hoscenc1_12|To njok wobnjer#e#sy#y!
Hoscenc1_13|To njok wobnjer#e#sy#y!
Hoscenc1_14|To jo njep#yistojne.
Hoscenc1_15|To se njezw#erijom.
Hoscenc1_16|Za co by jogo deja#l wot#strofowa#y?
Hoscenc1_17|Njok, a#z se rozgori!
Hoscenc1_18|Won njejo pijany, jano mucny!
Hoscenc1_19|Cartojski m#lyn? To klincy t#sa#snje.
Hoscenc1_20|Na takem pow#edanju jo p#yecej pro#sk w#ernos#ci, ale se w#e, teke njew#ernos#ci. To #zo#lte jo srjej#d jaja.
Hoscenc1_21|Roga a wogon ako cart, to njejsom pla m#lynika hy#s#ci wi#del, a #yoplej teke njebywa, ga#z how zastupijo.
Hoscenc1_22|Won jaden raz wob l#eto do kjarcmy p#yi#do. Sl#edny raz jo m#e samo wobraza dari#l - dla wabjenja, jo won m#eni#l.
Hoscenc1_23|Tam na s#c#enje wisytej.
Hoscenc1_24|Se w#e, a#z s#ly#sy#s wjele nowego. #Sunow la#zy p#yi wa#znej wikowa#nskej droze.
Hoscenc1_25|Raz su Kulojske wikowarje moje gos#ci a drugi raz wojaki abo poso#ly kurwjercha, ken#z sebje ma#lu p#yestawku #zyce.
Hoscenc1_26|W Drje#zd#danach maju zasej nowego kurwjercha. Awgust Mocny se jomu groni.
Hoscenc1_27|Poso#ly su pow#edali, a#z co by#y kral - a to kral Polskeje.
Hoscenc1_28|Wo co lu#di p#sosy#s? Wo rozym a w#edu? - Sl#ezy Kulowa? Mojejko golack, z tebje nic njebu#do!
Hoscenc1_29|W#e#x m#e, golack! To njejo nic za tebje!
Hoscenc1_30|Ty njejsy pr#edny, ken#z p#yede mnu stoj a se za tamnym m#lynom p#sa#sa. Ja #zednogo z tych kjarlow w#ecej wi#de#l njejsom,
Hoscenc1_31|a tu kjarcmu mam ju#zo dlej ako 20 l#et. Njejo to t#sochu #diwne?
Hoscenc1_32|Z nim se nichten tak p#sawje rozgranja#y njoco. Ga#z won zastupijo, w#sykne stanu a du z kjarcmy.
Hoscenc1_33|M#lynik wjele njegroni a p#yed#lujko teke njewostanjo. Njejo to helska #yop#lota, kotaru#z won wup#yestr#ewa, ale ... zyma!
Hoscenc1_34|#f#Synda#x chudych du#sow#F jogo lu#de pomjeniju.
Hoscenc1_35|To jo moja w#ec. Wobraze da#y tam wise a ko#nc!
Hoscenc1_36|N#ento pak dos#c. Wobgl#edaj se wobraze - to da#y dosega. Cartojski m#lyn tak a tak njenamaka#s.
Hoscenc1_37|Za to trjeba#s g#lowku, skobodnos#c a mocnu wolu.
Hoscenc1_38|To zaw#es#ce nic - m#lynik njama #ze#nsku. #fSom n#eco wa#znego zgubi#l#F, won p#yecej groni.
Hoscenc1_39|Ku#zdy raz samsku sadu, a potom se #za#losnje wopijo.
Hoscenc1_40|Jo, gaby to w#e#de#l. Ale to musy se jomu bejnje zanjezda#y.
Hoscenc1_41|Co#s mojich gos#ci gori#y?
Hoscenc1_42|Jano#s, som Jano#s. Dundam po kraju a wjaselim se nad #zywjenim.
Hoscenc1_43|Ja njejsom wot how. P#sa#saj ga se kjarcmarja.
Hoscenc1_44|To dej ku#zdy sam za sebje w#e#de#y.
Hoscenc1_45|Cy#n to, co#z #yi glucne cyni, abo mysli na to, co#z by rad cyni#l - na zachopje#nku to dosega.
Hoscenc1_46|Co tak skjar#zy#s? Wy ga s#co sami wina. Jano stukanje jo how s#ly#sa#y! #fCakamy na ry#yarja, ken#z nas wulichujo.#F
Hoscenc1_47|Tu sadu njamogu w#ecej s#ly#sa#y! Tam ni#di nichten njejo, tam ... nichten ... njejo, ken#z by wam pomaga#l!
Hoscenc1_48|Wa#se peticije wam njepomagaju, a wobronjone zb#e#zki se p#yecej k#sawnje a b#dez wusl#edka sko#ncyju.
Hoscenc1_49|Ja wudrogi njewi#dim.
Hoscenc1_50|W #zywjenje namaka se p#yecej droga a lu#d namakajo mo#znos#ci.
Hoscenc1_51|K#sasny kraj, ta #Lu#zyca. W#sykno how ma#yo. Modre gory w po#lnocy Budy#syna, daloke l#ese a p#lodne pola.
Hoscenc1_52|To jo ma#ly paradiz.
Hoscenc1_53|To #yi #zycym wjele wusp#echa. Sna#d namaka#s wotegrona na twoje p#sa#sanja.
Hoscenc1_54|Bbbrrr...
Hoscenc1_55|Hhhhuuuhhhooo...
Hoscenc1_56|Bbbyyy...
Hoscenc1_57|Kak mo#zo lu#d ju#zo wodnjo tak pijany by#y?
Hoscenc1_58|Pytam Cartojski m#lyn.
Hoscenc1_59|Cartojski m#lyn jano z pow#edanja znaju - co#z lu#de tak bachtaju.
Hoscenc1_60|Co s#co wo m#lynje s#ly#sali? Bydli tam cart?
Hoscenc1_61|Ako kjarcma#x ga wjele nowos#cow s#ly#sy#yo...
Hoscenc1_62|Co wa#se gos#ci tak pow#edaju?
Hoscenc1_63|Drje#zd#dany? Njejo to m#esto sl#ezy Kulowa? Tak daloko hy#s#ci p#sosyt choj#di#l njejsom.
Hoscenc1_64|M#lynik potakem pomocnikow trjeba?
Hoscenc1_65|Cogodla m#e wotra#dujo#yo, by#y m#ly#nski?
Hoscenc1_66|Co m#lynik k tomu m#eni? S#co se jogo p#sa#sali?
Hoscenc1_67|Cogodla potom te wobraze na s#c#enje wise?
Hoscenc1_68|Pow#edaj#yo m#e w#ecej wo Cartojskem m#lynje!
Hoscenc1_69|Jano jaden raz wob l#eto p#yi#do k wam wogl#edat? M#lynik drje doma mocnje pod pantoflami stoj?
Hoscenc1_70|Co jo m#lynik wa#znego zgubi#l?
Hoscenc1_71|Njejsom #lacny - #d#ekuju se.
Hoscenc1_72|Ja som Krabat, a chto s#co Wy?
Hoscenc1_73|Znajo#yo Cartojski m#lyn?
Hoscenc1_74|Kak to #do, se nad #zywjenim wjaseli#y?
Hoscenc1_75|Wy s#co bogaty mu#z a ma#yo cas za take grona. Chudy mu#z dej #y#e#zko #d#e#la#y. Sna#d jogo to wobglucne cyni. Ale ga#z sebje mojogo nana wobgl#edajom, njejsom se w#ecej tak w#esty.
Hoscenc1_76|Pow#edaj#yo w#ecej! Ja som teke wjele po droze.
Hoscenc1_77|Druge r#ednos#ci #zywjenja zew#sym w#ecej njewi#dim. Ga#z ku#zdy #de#n jano za kl#ebom goni#s musym, jo sw#et woko#lo m#e #yamny a cuzy. N#ento pak cu sw#et zezna#y!
Hoscenc1_78|N#ento pak som #lacny. Ska#zom sebje #yichu wodu.
Hoscenc1_79|Hhhhrrr...
Hoscenc1_80|Aaaarrrgggrrr...
Hoscenc1_81|Kkkkrrr...
Hrodz_1|Wjeliki kamje#n. Zdawa se #y#e#zki.
Hrodz_2|Zaperlot, som mocny kjarl. N#ent pak som #y#e#zki.
Hrodz_3|Hmmm ...
Hrodz_4|Hmmm ...
Hrodz_5|AAAAAAAAAAH!
Info_1|DESIGN$GRY:
Info_2|Jan$Bje#n#s
Info_3|J#prg$H#ubner
Info_4|PROGRAM#EROWANJE:
Info_5|Daniel$Zoba
Info_6|Stefan$Zarje#nk
Info_7|KRESLANKI:
Info_8|#S#c#epan$Hanu#s
Info_9|GRAFIKA$A$ANIMACIJE:
Info_10|Jan$Bje#n#s
Info_11|MUZIKA:
Info_12|Micha#l Cy#z
Info_13|ZUK:
Info_14|Jan Bje#n#s
Info_15|DIALOGI$A$TEKSTY:
Info_16|J#prg$H#ubner
Info_17|Lektorka: Bo#zena Pawlikec$$P#ye#lo#zk do dolnoserb#s#ciny: Gerat Nagora$$Wobalka a p#yirucka: Toma#s #So#lta$$Fotografija: Toma#s #So#lta$$Zgotowjenje w nadawku$Za#lo#zby za serbski lud
Inmlyn_1|Co? M#eni m#e? Ow mama, pomoc m#e!
Inmlyn_2|Cesto jo p#yi nejwu#sem woknje m#lyna sej#de#l a styskno mysli#l na doma - na nana a mamu.%%Se w#e, a#z njejo to jano m#ly#nske wukub#lanje by#lo, kotare#z jo na#s Krabat how zezna#l. M#ly#nske kolaso b#dez wody njejo jadnu#kki mysterij wosta#l. A Krabat jo se p#sa#sa#l, wotkul m#lynik swoju moc bjerjo.
Inmlyn_3|Raz w pozdnem l#e#yu - s#ly#nco jo se ju#zo za l#esom schowa#lo a Krabat jo hy#s#ci n#ekotare my#ski na zernkowem sk#ladani#s#cu #loj#l - to wugl#eda naraz #d#erku, kotaru#z su ma#le zw#erjetka do wjercha gryzali. Znaty g#los jo by#l wus#ly#sa#y.
Inmlyn_4|N#ento jo se Krabat dopomnje#l na warnowanje lu#di a na s#lowa mamy. A mama jo teke kluc do lichoty.
Inventar_1|#Swica#lka jo dopomnjenka$na mojogo starego nana.
Inventar_2|To jo moj pastyrski kij.
Inventar_3|Za co budu to jano trjeba#y?
Inventar_4|Gjarny#sk jo prozny.
Inventar_5|Som w#e#de#l, a#z ma ta w#ec n#ekaku kokulku!
Inventar_6|Twardy #stryck.
Inventar_7|Hmmm, wugl#eda ka#z k#yud.
Inventar_8|Pi, ba - su te slinojte!
Inventar_9|Z tym mogu wu#dit hy#y.
Inventar_10|Ten wu#ze#nc poj#do se ned kupat!
Inventar_11|Gl#edaj#yo, co som #lapi#l!
Inventar_12|Ma#le, zd#d#ela kulowate wognjowe kamu#ski.
Inventar_13|Jano z drjewa.$Gaby ta jano p#sawa by#la!
Inventar_14|Puh, ta ju#zo zachopina smjer#de#y ...
Inventar_15|Hej, som bogaty!
Inventar_16|Ten gjarny#sk z b#lotom nikomu w#ecej$bitowa#y njamogu.
Inventar_17|Aj, p#yez nju mogu dycha#y!
Inventar_18|Kn#e#zki, gl#edaj#yo se pr#edk!$No jo, nejmocnjej#sa bro#n to rowno njejo.
Inventar_19|K#sasne, carne rapakowe pjerje!
Inventar_20|Karta na#seje wokoliny.
Inventar_21|Porucny list. Ten trjeba Dinglinger.
Inventar_22|Njepodpisane a njezyglowane$wopodstatnjenje.
Inventar_23|Njepodpisane, ale zyglowane$wopodstatnjenje.
Inventar_24|Podpisane, ale njezyglowane wopodstatnjenje.
Inventar_25|Podpisane kralojske wobtwar#denje$z kralojskim zyglom.
Inventar_26|To jo drjewo za topjenje!
Inventar_27|R#edny, m#eki ko#zuch.
Inventar_28|#Do jano kokula #dar#zy?
Inventar_29|Twardy #stryck.
Inventar_30|#Stryk z kokulu. N#ent som p#sawy pirat.
Inventar_31|5 tolarjow. Wjele to njejo!
Inventar_32|W tej drastwje wugl#edajom ako #di#yelc.
Inventar_33|D#lujke kopje.
Inventar_34|Z tym se bejnje znoj#s.
Inventar_35|Hynak#su mo#znos#c njamam,$a wino se njewukali.
Inventar_36|Narucny s#ly#ncny zeger.
Inventar_37|Twarcojski klapac.
Inventar_38|To jo kluc do pok#ladni#s#ca.
Inventar_39|To bu#do raz k#sasna woporna #skla.
Inventar_40|Podpisany p#yikaz.
Inventar_41|To jo skica woporneje #skl#e.
Inventar_42|To jo zbytk ko#laca.
Inventar_43|S#lodny Drje#zd#da#nski ko#lac.
Inventar_44|To jo moja wosobinska drastwa.
Inventar_45|To jo korta domownje.
Inventar_46|#fPublikum a ja. Kak p#yewinjom t#sachy.#F$Pom#ernje #y#e#zke knig#ly to su.
Inventar_47|Woporna #skla. Kluc za Koraktor.
Inventar_48|KORAKTOR!
Inventar_49|Wjelicki, #y#e#zki kamje#n!
Inventar_50|Suche seno.
Inventar_51|Do gjarny#ska m#e to njep#yi#do!
Inventar_52|Njejo #lacna...
Inventar_53|N#e, to njok zapali#y!
Inventar_54|N#e, to njok zapali#y!
Inventar_55|Jaden dosega!
Inventar_56|Njejo #lakos#ciwa.
Inventar_57|N#e, z tym pisa#y njamogu.
Inventar_58|N#e, to njok zapali#y!
Inventar_59|N#e, to njok zapali#y!
Inventar_60|N#e, n#e. Wona bejnje #spatnje grajo.
Inventar_61|Jano tak? N#e!
Inventar_62|N#eco hy#s#ci felujo!
Inventar_63|Njejo g#lodna.
