Casnik_1|W#on tu stra#zuje.
Extro_5|Design hry: Jan Bje#n#s a J#prg H#ubner$$Program#erowanje: Daniel Zoba a Stefan Zarje#nk$$Rysowanki: #S#c#epan Hanu#s$$Grafika a animacije: Jan Bje#n#s$$Hud#dba: Micha#l Cy#z$$Dialogi a teksty: J#prg H#ubner$$Lektorka: Bo#zena Pawlikec$$P#re#lo#zk do delnoserb#s#ciny: Gerat Nagora$$Beta-test:$Tilo Vollprecht$Stefan Krau#t$Ingo R#uckert$Micha#l Cy#z$Anke Richter$Frank Bensch$Stefan Ranft$Thomas Kliem$Stefan H#ubner$Michael Meich#tner$Marcus H#afner$Micha#l #So#lta$$Wobalka a p#riru#kka: Toma#s #So#lta$$Fotografija: Toma#s #So#lta$$Wutrobny d#dak:$Stefan Krau#t$Torsten Mak$Weronika #Zurowa$$Zhotowjene w nadawku Za#lo#zby za serbski lud
Gang_1|Zerzawy rje#caz.
Gang_2|K#os#c zw#erje#ca.
Gang_3|Zawrjene durje.
Gang_4|Tu je mi p#re#cma.
Gang_5|Tak to nje#nd#de!
Gang_6|Mi nadobo #zo#ldk kor#ki. Tu tak a tak spod#diwnje smjerd#di.
Gang_7|Samo klu#kowa d#d#erka pobrachuje. #Sto so jeno#z za nimi chowa?
Gang_8|Tu je mi p#re#cma.
Gang_9|To je moja kniha.
Gang_10|W#sitko #cma!
Gang_11|Awa! N#etko sym so dyri#l.
Gang_12|#Sto je to? To sej sobu wozmu.
Gang_13|Spod#diwnje.
Gang_14|Wona je p#re#ke#nka.
Gang_15|Tak ju hi#s#ce roz#lamam!
Gang_16|Njeje klu#koweje d#d#erki!
Gang_17|Z hamorom to njep#o#nd#de!
Habor_1|To pak je spod#diwna figura.
Habor_2|#Kehodla chowa figura l#ewe w#o#kko?
Habor_3|Nowe sudy.
Habor_4|Ni#ko za mnje.
Habor_5|Ja sym Krabat, a #st#o sy ty?
Habor_6|Mje mjenuja Gonzales. Sym #spaniski pirat.
Habor_7|#Spaniske holi#ko?! Je wona rjanolinka? Zaw#es#ce je wona rjana! Wzmi mje tola raz sobu!
Habor_8|Derje, derje. Bych-li wjace chwile m#e#l, bych ju raz na piratske wa#snje wopyta#l!
Habor_9|To je cyle jednore. Wozmje#s sej k#otwicu a prawje do#lhi powjaz, a potom dyrbi#s jeno#z hi#s#ce porjadnje krosnowa#c.
Habor_10|Spytaj to tola sam - ale ked#dbuj, w#sud#de k#otwica njed#der#zi!
Habor_11|D#dakuju so za kompliment. W#e#s, pira#ca p#rewjele komplimentow njed#ostawaja.
Habor_12|Za to #ci k#otwicu dam. Powjaz dyrbi#s sej sam wobstara#c.
Habor_13|Mam dowol a wopytach swoju sot#ri#kku. Ale #kas so tak skoku minje, a n#etko dyrbju zaso wr#o#co. Moja #l#od#d za tyd#de#n wotj#ed#de.
Habor_14|W#sud#de tam, hd#de#z ma jend#delska flota po morju swoje wikowanske pu#ce.
Habor_15|W#ezo, to je jend#delska kolonija. Ale rad#so sym w #cop#lej Karibice. Tam ma#s #ci spod#diwnych piratow, ale te#z njesm#erne bohatstwo - ja #ci praju ...
Habor_16|N#o haj - zale#zi to najskerje na tej tu#zno#ce w Karibice. Raz sed#dachmy wje#kor na p#ribrjoze. P#lomjenja wohenja knyskotachu,
Habor_17|a m#lody pirat pow#eda#se wo swojim wojowanju p#re#ciwo jednomu duchej - duchej stareho kapitana. #Kakaj, kak so w#on mjenowa#se? Le ..., Le ... - ach, ja so hi#zo njedopominam.
Habor_18|#Sto? Kajke bohatstwa tu#ci Serbja maja? Sym tu w Drje#zd#danach n#ekotrych Serbow zezna#l, kot#ri#z su ze swojeje domizny do m#esta #ceknyli.
Habor_19|Ty r#e#ki#s wo bohatstwach, za nich je hi#zo #skri#kka nad#dije hoberske bohatstwo. W sylzojtych wo#kach #spihelowa#se so bjezk#on#kna zrudoba, horjo a b#eda.
Habor_20|Domizna je jich wupluny#la, a woni jara derje w#ed#da, zo so #zenje njenawr#o#ca.
Habor_21|Rjane mjeno. W hrod#de d#d#e#la s#lu#zowna, kotru#z mjenuja Konzuela.
Habor_22|Sy pirat a z tym njed#ostanje#s p#ristup.
Habor_23|#Sto to r#eka, na piratske wa#snje?
Habor_24|Ty sy prawy pirat. M#o#zu to z k#otwicu te#z raz pospyta#c?
Habor_25|Gonzaleso, kajke to b#e z tutej k#otwicu?
Habor_26|#Sto pyta pirat w Drje#zd#danach?
Habor_27|Hd#de sy to po pu#cu, pirato?
Habor_28|Znaje#s te#z Ameriku?
Habor_29|Kajkich spod#diwnych piratow to m#eni#s?
Habor_30|Pytam te#z bohatstwo, mjenujcy bohatstwo Serbow.
Habor_31|To zdawa so mi w#sitko n#ekak #spaniske. Bo#zemje.
Hala_1|Durje su zamknjene.
Hala_2|Wobraz n#ekajkeho kurwjercha.
Hala_3|Tute durje njejsu zamknjene.
Hala_4|Wobraz wisa p#rewysoko!
Hala_5|Potom wobraz hi#s#ce roz#skrabam!
Haska_1|Ze suda kapa wino.
Haska_2|#St#o#z tole wid#di, so na blaku wopije.
Haska_3|S#l#odke wino. To bud#de mi jut#re h#lowa brun#ke#c!
Haska_4|Wokno do komedijoweho domu.
Haska_5|Tak wokno njedosahnu.
Haska_6|N#etko m#o#zu do komedijoweho domu.
Haska_7|Aha, tu k#otwica d#der#zi!
Haska_8|N#e, tam ja dobrow#olnje njep#o#ndu.
Haska_9|Kuchar njeje luby kadla!
Haska_10|To je dw#elomna ideja! N#e!
Haska_11|Nad#dijomnje so moja drasta njepuknje, hdy#z dyrbju swoje my#ski tak jara napina#c!
Haska_12|To je #kerwjene wino. Wone so hubjenje wup#loka!
Haska_13|K wosu#skej so wino njehod#di!
Haty1_1|Rohod#d.
Haty1_2|Rohod#d.
Haty1_3|Wonaj staj #zno ch#etro wjele popadny#loj.
Haty1_4|Wonaj staj #zno ch#etro wjele popadny#loj.
Haty1_5|W#on pak so rjenje #kumpa.
Haty1_6|W#so m#erne.
Haty1_7|Jowle pak je wjele rybow!
Haty1_8|Haj, to m#o#zetaj do#lho wud#di#c. Wonaj ni#ko njepopadnjetaj!
Haty1_9|Hm, wonaj jednu rybu po druhej wu#cahnjetaj.
Haty1_10|Najskerje rybu hi#s#ce nimataj.
Haty1_11|Ja ju njedosahnu.
Haty1_12|Ja ju njedosahnu.
Haty1_13|Za kupanje je mi d#dens p#rezyma.
Haty1_14|Za kupanje je mi d#dens p#rezyma.
Haty1_15|Wot toho ni#ko njetrjebam.
Haty1_16|Tajku wulku rybu hi#s#ce nicht#o popadny#l njeje.$SNANO JE HI#S#CE WJACE RYBOW TU!!!
Haty1_17|Hej, Pawlo, pohladaj raz!
Haty1_18|Zaperlot! Knje#zi #sosar je mi tola p#ri#sukny#l, zo je jeno#z w tutym ha#ce hi#s#ce rybow.
Haty1_19|Chce#s n#etko najwjet#su rybu popadny#c, abo #sto? P#oj sobu!
Haty1_20|Tajki m#lody, a hi#zo telko zbo#za!
Haty1_21|Haj, ja te#z njew#em. To d#d#e#se w#sitko jara sp#e#snje.
Haty1_22|Poprawom tu docy#la wud#di#c njesm#e#s. To je knje#zi hat. Ale nikomu to njeprajimoj.
Haty1_23|Spytaj tola hi#s#ce j#onu swoje zbo#zo w na#sim ha#ce.
Haty1_24|Haj, my tule mjeztym za prawym pohladamoj.
Haty1_25|Hdy#z m#enitaj. Tak, na prawym boku to hi#s#ce raz spytam.
Haty1_26|Tajki njeplech! N#etko pak skoku! Snano hi#s#ce wjet#su popadnjemoj.
Haty1_27|Z tym rohod#d te#z njedosahnu.
Haty1_28|Z tym rohod#d te#z njedosahnu.
Haty1_29|Te#z powjaz tu njepomha.
Haty1_30|Te#z powjaz tu njepomha.
Haty1_31|Tam je #zno dos#c.
Haty1_32|Tam je #zno dos#c.
Haty1_33|Wone su so runje na#zrali.
Haty1_34|Wone su so runje na#zrali.
Haty1_35|T#onle #zort wonaj zaw#es#ce njezrozumitaj.
Haty1_36|T#onle #zort wonaj zaw#es#ce njezrozumitaj.
Haty1_37|Ja tola h#lupy njejsym.
Haty1_38|Ja tola h#lupy njejsym.
Haty1_39|Je hi#zo p#riwjazany.
Haty1_40|Z tym hi#s#ce wud#di#c njem#o#zu.
Haty1_41|Z tym hi#s#ce wud#di#c njem#o#zu.
Haty1_42|#Kehodla dyrbjeli ryby p#rikusny#c?
Haty1_43|#Kehodla bychu dyrbjeli ryby p#rikusny#c?
Haty1_44|Ja tola h#lupy njejsym.
Haty1_45|Ja tola h#lupy njejsym.
Haty1_46|Rad#so nic, hrubos#c #zenje njepomha.
Haty1_47|Rad#so nic, hrubos#c #zenje njepomha.
Haty1_48|To je moja.
Haty1_49|To je moja.
Haty1_50|To su moje.
Haty1_51|To su moje.
Haty1_52|Mataj samaj wudu.
Haty1_53|Mataj samaj wudu.
Haty1_54|Wonaj #l#zu zaw#es#ce sp#oznajetaj!
Haty1_55|Wonaj #l#zu zaw#es#ce sp#oznajetaj!
Haty1_56|N#e, snano je l#epje, zo to zbliska njewid#detaj.
Haty1_57|N#e, snano je l#epje, zo to zbliska njewid#da.
Haty1_58|Hladataj, #sto sym popadny#l!
Haty1_59|Hladataj, #sto sym popadny#l!
Haty1_60|Ha, tajkich ma#lych mamoj samaj dos#c!
Haty1_61|T#on je m#oj.
Haty1_62|T#on je m#oj.
Haty1_63|Rad#so nic, hrubos#c #zenje njepomha.
Haty1_64|Rad#so nic, hrubos#c #zenje njepomha.
Haty1_65|Brunjawka! Ma#s tola wino w swojim ko#siku. Daj wujej lunk wina!
Haty1_66|#Kerwjenawka ma #kerwjenu #kapku a wopyta swoju lubu wowku. Ty ma#s n#e#sto bruneho na h#lowje, potajkim sy Brunjawka.
Haty1_67|Tykanc w swojim ko#siku m#o#ze#s mojemu susodej da#c, ale wo wino bych so radlubje sam postara#l - luba, najlub#sa Brunjawka.
Haty1_68|Mjel#k, Brunjawka! Daj mi sw#oj nah#lownik! Pytam hi#s#ce n#e#sto za p#ostniski #cah.
Haty1_69|Ach, lunk wina abo palenca, a hi#zo #kapku trjeba#c njebud#de#s.
Haty1_70|Je to zaso nowa kor#kma w Budy#sinje? P#reco tute w#olborne mjena!
Haty1_71|Tajne m#estno!? Zo mi hobra Sprjewnika njewubud#di#s -
Haty1_72|hahaha -- hehe.
Haty1_73|Ja hi#zo wjele palenca piju, ale za to sy ty poprawom p#rem#lody! Hd#ze ha tajke blady pow#edaja - w Jitku abo w Kulowje?
Haty1_74|So w#e, so w#e. To je w zymje zaw#es#ce #cop#le m#estno. Praj pro#su #kertej wjele dobreho,
Haty1_75|za 20 l#et m#o#ze hela ze mnu li#ki#c. Potom bych rady w zarjadnistwje du#sow d#d#e#la#l,
Haty1_76|dokel#z tepjenje podzemskich komorow za mnje ni#ko njeje -
Haty1_77|hahaha hehe.
Haty1_78|Haj, tutu nazymu je tole posledni hat z rybami.
Haty1_79|W Kulowje wikuja te#z z rybami. A dokel#z jich l#etsa telko njeje, m#o#ze#s sej t#oj#sto kro#sikow zas#lu#zi#c.
Haty1_80|#Sto z wudu chce#s?
Haty1_81|Za l#eto p#ri#nd#d zaso. Snano zm#eje#s potom zbo#zo.
Haty1_82|L#etsa je tole posledni hat z rybami, a nicht#o druhi tu wud#di#c njesm#e.
Haty1_83|N#etko sm#oj m#oj tu!
Haty1_84|M#oj tu wud#dimoj!
Haty1_85|Zbo#zo je mje wopu#s#ci#lo!
Haty1_86|To nima zmys#la!
Haty1_87|Nic hi#s#ce raz!
Haty1_88|Ty sy tola jeno#z rybow dla tu!
Haty1_89|Dyrbju so koncentrowa#c.
Haty1_90|Njemyl mje! Runje jedna kusa.
Haty1_91|L#etsa ja najwjet#su popadnu!
Haty1_92|Njem#o#zu n#etko z tobu r#e#ke#c.
Haty1_93|Brunjawka? Ja sym Krabat.
Haty1_94|Ja njejsym Brunjawka! Tajke #kapki so d#densa no#sa. Nimo toho je to #cmowa oran#zowa barba.
Haty1_95|Ma#c je mi zakaza#la, sej wonka bjez #kapki hrajka#c. #Sto, jeli so nazymnju?
Haty1_96|Znaje#ce #Kertowski m#lyn?
Haty1_97|#Kertowski m#lyn njeje nowa kor#kma! Tak mjenuja lud#do tajne m#estno, hd#de#z m#o#ze#s wjace nawukny#c, ha#k jeno#z ml#e#ce zorna.
Haty1_98|To njejsu blady! Ja #Kertowski m#lyn namakam!
Haty1_99|#Swarne ryby s#ce nawud#di#l.
Haty1_100|#Sto z rybami #kini#ce?
Haty1_101|Hd#de d#ostanu wudu?
Haty1_102|Wjele zbo#za hi#s#ce p#ri wud#denju.
Haty1_103|M#o#zu to te#z raz spyta#c?
Haty1_104|Pytam #Kertowski m#lyn.
Haty1_105|Wjele wjesela hi#s#ce - bo#zemje.
Haty1_106|Ruce pre#k!
Haty1_107|Wostaj to!
Haty1_108|D#di sej sam n#e#sto popadny#c!
Haty1_109|Hej, to je na#s!
Haty1_110|Ja to wid#du!
Haty1_111|N#etko m#oj najwjet#su rybu popadnjemoj!
Haty1_112|Wostaj naju na pokoj!
Haty1_113|Ja sym...
Haty1_114|ach, #sto #ci to pow#edam.
Hojnt1_1|H#o#kka. Wona tu wisa.
Hojnt1_2|To su pasle.
Hojnt1_3|P#ri hajnkowni na k#oncu #sn#ory je zw#on#kk. T#on zwoni, hdy#z je so n#e#sto #fpopadny#lo#F.
Hojnt1_4|Zw#on#kk.
Hojnt1_5|Tu wisaja kurotwy.
Hojnt1_6|To je s#cin knje#zeho hajnika.
Hojnt1_7|Tu nicht#o nut#rka njeje.
Hojnt1_8|Sekera. Wona zaw#es#ce hajnikej s#lu#sa.
Hojnt1_9|Zachod do domskeho.
Hojnt1_10|Drjewo z l#esa.
Hojnt1_11|To njem#o#zu p#red woknom. Hdy#z mje hajnik wid#di! Dyrbju to n#ekak hinak zdokonje#c.
Hojnt1_12|To njedosahnu.
Hojnt1_13|Do paslow wjace njestupju.
Hojnt1_14|To njem#o#zu p#red woknom. Hdy#z mje hajnik wid#di! Dyrbju to n#ekak hinak zdokonje#c.
Hojnt1_15|D#dakuju so wam! Mam hi#s#ce pra#senje.
Hojnt1_16|Njeje chwile. Dyrbju pasle zwuporjed#de#c a potom so na h#o#ntwu p#rihotuju. A tule n#oc wjelka popadnu.
Hojnt1_17|Ked#dbu! Hajnik so wr#o#ci!
Hojnt1_18|To hajnik pytnje.
Hojnt1_19|Kurotwy njetrjebam.
Hojnt1_20|Hdy#z dale do wokna hladam, mje w#on snano wid#di a potom mje wuswari.
Hojnt1_21|Wokno da so jeno#z wotnut#rka wo#kini#c.
Hojnt1_22|Wona kru#ce w zd#onku t#ki!
Hojnt1_23|Nochcu hajnika myli#c.
Hojnt1_24|Do domskeho njep#o#ndu.
Hojnt1_25|P#re#ce#zke!
Hojnt1_26|Tak to nje#nd#de!
Hojnt1_27|Nochcu hajnika hi#s#ce raz mjerza#c. W#on chce tola wjelka popadny#c.
Hojnt1_28|Nochcu wokno rozbi#c!
Hojnt1_29|Tak je njezapali#s.
Hojnt1_30|#Sto m#o#ze to jeno#z by#c? Wupada ka#z #sn#ora. Dyrbju sej to bli#ze wobhlada#c!
Hojnt1_31|#Sto m#o#ze to jeno#z by#c? Dyrbju sej to bli#ze wobhlada#c!
Hojnt2_1|To su pasle.
Hojnt2_2|P#ri hajnkowni na k#oncu #sn#ory je zw#on#kk. T#on zwoni, hdy#z je so n#e#sto #fpopadny#lo#F.
Hojnt2_3|Zw#on#kk.
Hojnt2_4|Tu wisaja kurotwy.
Hojnt2_5|To je s#cin knje#zeho hajnika.
Hojnt2_6|Sekera. Wona zaw#es#ce hajnikej s#lu#sa.
Hojnt2_7|Zachod do domskeho.
Hojnt2_8|Drjewo z l#esa.
Hojnt2_9|To njedosahnu!
Hojnt2_10|Do paslow wjace njestupju.
Hojnt2_11|To njem#o#zu p#red woknom. Hdy#z mje hajnik wid#di! Dyrbju to n#ekak hinak zdokonje#c.
Hojnt2_12|To hajnik pytnje.
Hojnt2_13|Hdy#z dale do wokna hladam, mje w#on snano wid#di a potom mje wuswari.
Hojnt2_14|Wona kru#ce w zd#onku t#ki!
Hojnt2_15|Nochcu hajnika myli#c.
Hojnt2_16|P#re#ce#zke!
Hojnt2_17|Nochcu hajnika hi#s#ce raz mjerza#c. W#on chce tola wjelka popadny#c.
Hojnt2_18|Nochcu wokno rozbi#c!
Hojnt2_19|Tak je njezapali#s.
HojntAuto_1|Zaperlot! Je to n#etko zw#erjo abo zaso h#olc? Dyrbju za tym skoku pohlada#c.
HojntAuto_2|D#diwnje. Tajki w#et#rik tola d#densa njeje. Ze zw#on#kkom dyrbju sej hi#s#ce n#e#sto p#remysli#c.
HojntAuto_3|Zw#on#kk je zazwoni#l! Kotre zw#erjo drje sym popadny#l?
Hoscenc1_1|W#on smor#ki.
Hoscenc1_2|W#on tu sed#di a piwko lapta.
Hoscenc1_3|Horn#kk je pr#ozdny.
Hoscenc1_4|Aha, kor#kma wotnut#rka.
Hoscenc1_5|To je molowany wobraz. Pom#ernje wulki to statok. Wupada ka#z m#lyn.
Hoscenc1_6|Drjewjany st#olc.
Hoscenc1_7|To su zaw#es#ce durje do kuchnje. S#ly#su, kak n#echt#o z horncami klepota.
Hoscenc1_8|To so njes#lu#sa!
Hoscenc1_9|To so njes#lu#sa!
Hoscenc1_10|Nochcu so sydny#c!
Hoscenc1_11|N#e, tu zaw#es#ce njesm#em zastupi#c.
Hoscenc1_12|To nochcu womaza#c!
Hoscenc1_13|To nochcu womaza#c!
Hoscenc1_14|To je njep#ristojne.
Hoscenc1_15|To sej njezwa#zu.
Hoscenc1_16|Za #ko bych jeho dyrbja#l poch#losta#c?
Hoscenc1_17|Nochcu, zo so rozhn#ewa!
Hoscenc1_18|Njeje pjany, jeno#z mu#kny!
Hoscenc1_19|#Kertowski m#lyn?! To klin#ki stra#snje.
Hoscenc1_20|Na bladach je p#reco hro#satka w#ernos#ce, ale w#ezo te#z njew#ernos#c. To prawe je srjed#d tutoho wusmu#za.
Hoscenc1_21|Rohaj a wopu#s ka#z #kert njejsym hi#s#ce pola m#lynka wid#da#l, a #copli#so te#z njebywa, hdy#z tu zastupi.
Hoscenc1_22|W#on j#onu wob l#eto sem do kor#kmy p#ri#nd#de. Za#s#ly raz je mi samo wobrazaj dari#l - dla wabjena, w#on m#enje#se.
Hoscenc1_23|Tam na s#c#enje wisatej.
Hoscenc1_24|W#ezo s#ly#si#s wjele noweho. #Sunow le#zi p#ri wa#znej wikowanskej dr#oze.
Hoscenc1_25|J#onu su Kulowscy wikowarjo moji hos#co a druhi raz wojacy abo posoljo kurwjercha, ki#z sej ma#lu p#restawku pop#reja.
Hoscenc1_26|W Drje#zd#danach maja zaso noweho kurwjercha. Awgust Sylny so mjenuje.
Hoscenc1_27|Posoljo pow#edachu, zo chce by#c kral - a to kral P#olskeje.
Hoscenc1_28|Wo #ko lud#di prosy#s? Wo rozum a w#edu? - Zady Kulowa?! Jejdyrko h#ol#ke, z tebje ni#ko njebud#de!
Hoscenc1_29|Ni#ko za tebje. W#er mi h#ol#ke!
Hoscenc1_30|Ty njejsy pr#eni, ki#z p#rede mnu steji a so za wonym m#lynom pra#sa. Ja #zanoho z tutych pacho#low wjace wid#da#l njejsym,
Hoscenc1_31|a tutu kor#kmu mam hi#zo dl#eje ha#k 20 l#et. Njeje to trochu spod#diwne?
Hoscenc1_32|Z nim so nicht#o tak prawje rozmo#lwje#c nochce. Hdy#z w#on zastupi, w#sitcy stanu a kor#kmu wopu#s#ca.
Hoscenc1_33|M#lynk wjele njepraji a p#redo#lho te#z njewostawa. Njeje to helska #cop#lota, kotru#z w#on wuprud#da, ale ... zymnota!
Hoscenc1_34|#f#Kw#ela chudych du#sow#F jeho lud#do mjenuja.
Hoscenc1_35|To je moja w#ec. Wobrazy njech tam wisaja, a k#onc!
Hoscenc1_36|N#etko pak dos#c. Wobhladaj sej wobrazy, to njech dosaha. #Kertowski m#lyn tak a tak njenamaka#s.
Hoscenc1_37|Za to trjeba#s h#l#oj#kku, zmu#zitos#c a sylnu wolu.
Hoscenc1_38|To zaw#es#ce nic - m#lynk nima #zonu. #fSym n#e#sto wa#zneho zhubi#l#F, w#on p#reco praji.
Hoscenc1_39|K#o#zdy raz samsnu sadu, a potom so #za#lostnje wopije.
Hoscenc1_40|Haj, hdy bych to w#ed#da#l. Ale dyrbi to jemu ch#etro blisko hi#c.
Hoscenc1_41|Chce#s mojich hos#ci mjerza#c?
Hoscenc1_42|Jano#s, sym Jano#s. Dundam po kraju a wok#rewjam so na #ziwjenju.
Hoscenc1_43|Ja njejsym wottud. Pra#sej so tola kor#kmarja.
Hoscenc1_44|To dyrbi k#o#zdy za sebje w#ed#de#c.
Hoscenc1_45|#Ki#n to, z #kim#z sy zbo#zowny, abo mysli na to, #sto#z by rady #kini#l. Na spo#katku to dosaha.
Hoscenc1_46|#Sto so huntori#s? Wy s#ce tola sami wina. Jeno#z stonanja su tule s#ly#se#c! #f#Kakamy na rjeka, ki#z nas wuswobod#di.#F
Hoscenc1_47|Tutu sadu njem#o#zu wjace s#ly#se#c! Tam wonka nicht#o njeje, tam ... nicht#o ... njeje, ki#z by wam pomha#l!
Hoscenc1_48|Wa#se peticije wam njepomhaja, a wobr#onjene zb#e#zki so p#reco krawnje a bjez wusp#echa sk#on#ka.
Hoscenc1_49|Ja wupu#ca njewid#du.
Hoscenc1_50|W #ziwjenju namaka so p#reco pu#c, a #k#lowjek nade#nd#de m#o#znos#ce.
Hoscenc1_51|Krasna k#on#kina, tuta #Lu#zica. W#sitko tu ma#ce. M#odre horiny ju#znje Budy#sina, daloke l#esy a p#l#odne pola.
Hoscenc1_52|To je ma#ly paradiz.
Hoscenc1_53|To #ci p#reju wjele wusp#echa. Snad#d namaka#s wotmo#lwy na swoje pra#senja.
Hoscenc1_54|Bbbrrr...
Hoscenc1_55|Hhhhuuuhhhooo...
Hoscenc1_56|Bbbyyy...
Hoscenc1_57|Kak m#o#ze #k#lowjek hi#zo wodnjo tak pjany by#c?
Hoscenc1_58|Pytam #Kertowski m#lyn.
Hoscenc1_59|#Kertowski m#lyn jeno#z z pow#edanja znaju - #sto#z lud#do tak bled#da.
Hoscenc1_60|#Sto s#ce wo m#lynje s#ly#sa#l? Bydli tam #kert?
Hoscenc1_61|Jako kor#kmar tola mnoho nowos#cow s#ly#si#ce ...
Hoscenc1_62|#Sto wa#si hos#co takle pow#edaja?
Hoscenc1_63|Drje#zd#dany?! Njeje to m#esto zady Kulowa? Tak daloko hi#s#ce po pro#senju chod#di#l njeb#ech.
Hoscenc1_64|M#lynk potajkim pomocnikow trjeba?
Hoscenc1_65|#Kehodla mi wotrad#duje#ce, by#c m#lynski?
Hoscenc1_66|#Sto m#lynk k tomu m#eni? S#ce so jeho pra#sa#l?
Hoscenc1_67|#Kehodla potom tute wobrazy na s#c#enje wisaja?
Hoscenc1_68|Pow#edaj#ce mi wjace wo #Kertowskim m#lynje.
Hoscenc1_69|Jeno#z j#onu wob l#eto was wopyta? M#lynk drje doma m#ocnje pod toflom steji?
Hoscenc1_70|#Sto je m#lynk wa#zneho zhubi#l?
Hoscenc1_71|Njejsym la#kny, d#dakuju so.
Hoscenc1_72|Ja sym Krabat, a #st#o s#ce wy?
Hoscenc1_73|Znaje#ce #Kertowski m#lyn?
Hoscenc1_74|Kak to d#de, so na #ziwjenju wok#rewje#c?
Hoscenc1_75|Wy s#ce bohaty a ma#ce chwile za tajke hr#on#kka. Chudy mu#z dyrbi #ce#zce d#d#e#la#c. Snano jeho to zbo#zowneho s#kini. Ale hdy#z sej swojeho nana wobhladam, njejsym sej wjace tak w#esty.
Hoscenc1_76|Pow#edaj#ce wjace, ja sym te#z wjele po pu#cu.
Hoscenc1_77|Druhdy rjanos#ce #ziwjenja docy#la wjace njewid#du. Hdy#z k#o#zdy d#de#n jeno#z za chl#ebom honi#s, je sw#et woko#lo tebje #cmowy a cuzy. N#etko pak chcu sw#et zezna#c!
Hoscenc1_78|N#etko pak sym la#kny. Skazam sej #cichu wodu.
Hoscenc1_79|Hhhhrrr...
Hoscenc1_80|Aaaarrrgggrrr...
Hoscenc1_81|Kkkkrrr...
Hrodz_1|Wulki kamje#n. Zdawa so #ce#zki.
Hrodz_2|Zaperlot, sym m#ocny kadla. N#etko pak sym #ce#zki pacho#l.
Hrodz_3|Hmmm ...
Hrodz_4|Hmmm ...
Hrodz_5|AAAAAAAAAAH!
Info_1|DESIGN$HRY:
Info_2|Jan$Bje#n#s
Info_3|J#prg$H#ubner
Info_4|PROGRAM#EROWANJE:
Info_5|Daniel$Zoba
Info_6|Stefan$Zarje#nk
Info_7|RYSOWANKI:
Info_8|#S#c#epan$Hanu#s
Info_9|GRAFIKA$A$ANIMACIJE:
Info_10|Jan$Bje#n#s
Info_11|HUD#DBA:
Info_12|Micha#l Cy#z
Info_13|ZWUK:
Info_14|Jan Bje#n#s
Info_15|DIALOGI$A$TEKSTY:
Info_16|J#prg$H#ubner
Info_17|Lektorka: Bo#zena Pawlikec$$P#re#lo#zk do delnoserb#s#ciny: Gerat Nagora$$Wobalka a p#riru#kka: Toma#s #So#lta$$Fotografija: Toma#s #So#lta$$Zhotowjene w nadawku$Za#lo#zby za serbski lud
Inmlyn_1|#Sto? M#eni mje? Ow ma#ci, pomhaj mi!
Inmlyn_2|Hustohdy sed#de#se p#ri najwy#sim woknje m#lyna a mysle#se styskniwje na doma - na nana a ma#c.%%W#ezo njeb#e to jeno#z m#lynske wukub#lanje, kotre#z b#e na#s Krabat tu zezna#l. M#lynske ko#lo bjez wody njezwosta jeni#kki mysterij. A Krabat so pra#se#se, zwotkel m#lynk swoju m#oc sr#eba.
Inmlyn_3|J#onu w p#ozdnim l#e#cu - s#l#onco so hi#zo zeza l#esa chowa#se a Krabat b#e#se hi#s#ce n#ekotre my#ski w zornowym sk#lad#di#s#cu popadny#l - to wuhlada naraz d#d#erku, kotru#z b#echu zw#erjatka do wjercha hrymzali. Znaty h#l#os so k njemu p#redr#ewa#se ...
Inmlyn_4|N#etko so Krabat dopomni na warnowanje lud#di a na s#lowa ma#cerje. A ma#c b#e#se te#z klu#k do swobody.
Inventar_1|Pi#s#ca#lka je dopomnjenka$na mojeho d#d#eda.
Inventar_2|To je m#oj pastyrski kij.
Inventar_3|Za #ko budu j#on jeno#z trjeba#c?
Inventar_4|Horn#kk je pr#ozdny.
Inventar_5|W#ed#dach, zo ma tale w#ec h#o#kku!
Inventar_6|Kruty powjaz.
Inventar_7|Hmmm, wupada ka#z k#rud.
Inventar_8|Pi, ba - su te slinojte!
Inventar_9|Z tym m#o#zu wud#di#c hi#c.
Inventar_10|Tale wa#kka p#o#nd#de so hnydom kupa#c!
Inventar_11|Hladaj#ce, #sto sym popadny#l!
Inventar_12|Ma#le, zd#d#ela kulowate wohnjowe kamu#ski.
Inventar_13|Jeno#z z drjewa.$Hdy by jeno#z prawa by#la!
Inventar_14|Puh, ta hi#zo po#kina smjerd#de#c ...
Inventar_15|Hej, sym bohaty!
Inventar_16|T#on horn#kk z b#l#otom nikomu wjace$poski#ci#c njem#o#zu.
Inventar_17|Aj, p#rez nju m#o#zu dycha#c!
Inventar_18|Knje#zkojo, bjer#ce so na ked#dbu!$N#o haj, najsylni#sa br#o#n to runje njeje.
Inventar_19|Krasne, #korne rapakowe pjerjo.
Inventar_20|Karta na#seje wokoliny.
Inventar_21|Doporu#kenje. Trjebam je za Dinglingera.
Inventar_22|Njepodpisana a njezyglowana$potwjerd#denka.
Inventar_23|Njepodpisana, ale zyglowana$potwjerd#denka.
Inventar_24|Podpisana, ale njezyglowana potwjerd#denka.
Inventar_25|Podpisana kralowska potwjerd#denka$z kralowskim pje#katom.
Inventar_26|To je drjewo za tepjenje.
Inventar_27|Rjany, mjechki ko#zuch.
